genome	order	outcome	verdict	call	best_hit_locations
GCA_030575175.1_ASM3057517v1	Dipodascales	low	best_hit_elsewhere	JAJMIH010000041.1:19452-80862	MAT1-1-3@JAJMIH010000015.1:211344(35%)=withheld_by_bar;MAT1-2-1@JAJMIH010000015.1:211311(44%)=withheld_by_bar;MATALPHA2@JAJMIH010000003.1:1530(42%)=withheld_by_bar;Rsm22-like@JAJMIH010000035.1:12617(30%)=withheld_by_bar;mat1-Mc@JAJMIH010000015.1:211359(36%)=withheld_by_bar;mat1-Pi@JAJMIH010000089.1:28396(52%)=called_coremodelled|withheld_by_bar;matMc@JAJMIH010000046.1:18275(41%)=withheld_by_bar;matPi@JAJMIH010000003.1:1527(47%)=withheld_by_bar
GCA_030575175.1_ASM3057517v1	Dipodascales	low	best_hit_elsewhere	JAJMIH010000041.1:19452-80862	MAT1-1-3@JAJMIH010000015.1:211344(35%)=withheld_by_bar;MAT1-2-1@JAJMIH010000015.1:211311(44%)=withheld_by_bar;MATALPHA2@JAJMIH010000003.1:1530(42%)=withheld_by_bar;Rsm22-like@JAJMIH010000035.1:12617(30%)=withheld_by_bar;mat1-Mc@JAJMIH010000015.1:211359(36%)=withheld_by_bar;mat1-Pi@JAJMIH010000089.1:28396(52%)=called_coremodelled|withheld_by_bar;matMc@JAJMIH010000046.1:18275(41%)=withheld_by_bar;matPi@JAJMIH010000003.1:1527(47%)=withheld_by_bar
GCA_030575195.1_ASM3057519v1	Dipodascales	withheld	best_hit_elsewhere	JAJMIE010000008.1:135154-149841	MAT1-1-3@JAJMIE010000027.1:96596(34%)=withheld_by_bar;MAT1-2-1@JAJMIE010000027.1:96596(48%)=withheld_by_bar;MATALPHA2@JAJMIE010000001.1:527027(39%)=withheld_by_bar;MTLA1@JAJMIE010000024.1:224476(38%)=withheld_by_bar;Rsm22-like@JAJMIE010000010.1:61931(32%)=withheld_by_bar;mat1-Mc@JAJMIE010000027.1:96581(36%)=withheld_by_bar;mat1-Pi@JAJMIE010000001.1:527060(50%)=withheld_by_bar;matMc@JAJMIE010000025.1:100336(36%)=withheld_by_bar;matPi@JAJMIE010000001.1:527039(52%)=withheld_by_bar
GCA_030583505.1_ASM3058350v1	Dipodascales	withheld	best_hit_elsewhere	JAJMIF010000016.1:96725-123125	MAT1-1-3@JAJMIF010000054.1:38713(34%)=withheld_by_bar;MAT1-2-1@JAJMIF010000054.1:38719(47%)=withheld_by_bar;MATALPHA2@JAJMIF010000191.1:30748(44%)=withheld_by_bar;Rsm22-like@JAJMIF010000026.1:61194(32%)=no_locus;mat1-Mc@JAJMIF010000054.1:38731(41%)=withheld_by_bar;mat1-Pi@JAJMIF010000191.1:30733(47%)=withheld_by_bar;matMc@JAJMIF010000001.1:315265(41%)=withheld_by_bar;matPi@JAJMIF010000191.1:30727(43%)=withheld_by_bar
GCA_030585005.1_ASM3058500v1	Dipodascales	low	best_hit_elsewhere	JAJMCE010000186.1:2943-10962	MAT1-1-3@JAJMCE010000079.1:10682(31%)=withheld_by_bar;MAT1-2-1@JAJMCE010000079.1:10697(45%)=withheld_by_bar;Rsm22-like@JAJMCE010000185.1:24324(31%)=no_locus;mat1-Mc@JAJMCE010000079.1:10685(41%)=withheld_by_bar;matMc@JAJMCE010000079.1:10682(40%)=withheld_by_bar;matPi@JAJMCE010000073.1:29636(54%)=withheld_by_bar
GCA_031125595.1_ASM3112559v1	Ascoideales	low	best_hit_here	JASTUX010000026.1:70693-116290	MAT1-1-3@JASTUX010000018.1:37956(39%)=withheld_by_bar;MAT1-2-1@JASTUX010000018.1:37890(44%)=withheld_by_bar;MTLA1@JASTUX010000008.1:172901(38%)=withheld_by_bar;Rsm22-like@JASTUX010000028.1:38643(56%)=no_locus;mat1-Mc@JASTUX010000018.1:37956(40%)=withheld_by_bar;mat1-Pi@JASTUX010000014.1:23003(50%)=withheld_by_bar;matMc@JASTUX010000018.1:37944(40%)=withheld_by_bar;matPi@JASTUX010000014.1:23000(44%)=withheld_by_bar
GCA_031125765.1_ASM3112576v1	Ascoideales	withheld	best_hit_here	JASTVC010000035.1:10715-88744	MAT1-1-3@JASTVC010000014.1:201892(38%)=withheld_by_bar;MAT1-2-1@JASTVC010000014.1:201826(46%)=withheld_by_bar;MATALPHA2@JASTVC010000059.1:35761(40%)=withheld_by_bar;Rsm22-like@JASTVC010000054.1:19442(33%)=no_locus;mat1-Mc@JASTVC010000014.1:201880(39%)=withheld_by_bar;mat1-Pi@JASTVC010000059.1:35785(50%)=withheld_by_bar;matMc@JASTVC010000014.1:201877(40%)=withheld_by_bar;matPi@JASTVC010000006.1:237758(45%)=withheld_by_bar
GCA_031142775.1_ASM3114277v1	Xylariales	low	best_hit_elsewhere	JAVBIV010000002.1:1313320-1323659	MAT1-1-3@JAVBIV010000008.1:1276679(33%)=no_locus;MAT1-2-1@JAVBIV010000008.1:1276673(53%)=no_locus
GCA_031310005.1_ASM3131000v1	Orbiliales	withheld	best_hit_elsewhere	CM062383.1:1296513-1304918	MAT1-2-1@CM062386.1:2421022(43%)=withheld_by_bar;Rsm22-like@CM062383.1:964129(33%)=no_locus;mat1-Mc@CM062384.1:1293525(41%)=withheld_by_bar;matMc@CM062384.1:1293513(46%)=withheld_by_bar;matPi@CM062379.1:1489462(47%)=withheld_by_bar
GCA_036872635.1_ASM3687263v1	Orbiliales	withheld	best_hit_elsewhere	JAVHNQ010000003.1:2110495-2121978	MAT1-2-1@JAVHNQ010000001.1:2231718(45%)=withheld_by_bar;Rsm22-like@JAVHNQ010000003.1:2534109(32%)=no_locus;mat1-Mc@JAVHNQ010000001.1:2231718(41%)=withheld_by_bar;matMc@JAVHNQ010000001.1:2231718(47%)=withheld_by_bar;matPi@JAVHNQ010000007.1:193260(46%)=withheld_by_bar
GCA_036872755.1_ASM3687275v1	Orbiliales	withheld	best_hit_elsewhere	JAVHNS010000010.1:358519-372013	MAT1-2-1@JAVHNS010000005.1:116101(39%)=withheld_by_bar;MATALPHA2@JAVHNS010000008.1:334367(39%)=withheld_by_bar;MTLalpha2@JAVHNS010000008.1:334370(40%)=withheld_by_bar;Rsm22-like@JAVHNS010000010.1:755258(31%)=no_locus;mat1-Mc@JAVHNS010000003.1:1199577(37%)=withheld_by_bar;mat1-Pi@JAVHNS010000008.1:334406(39%)=withheld_by_bar;matMc@JAVHNS010000003.1:1199577(46%)=withheld_by_bar;matPi@JAVHNS010000008.1:334403(36%)=withheld_by_bar
GCA_036971245.1_ASM3697124v1	Orbiliales	withheld	best_hit_elsewhere	JAJTTW010000008.1:1380115-1401256	MAT1-2-1@JAJTTW010000001.1:97619(39%)=withheld_by_bar;MATA2@JAJTTW010000014.1:329730(38%)=withheld_by_bar;MATALPHA2@JAJTTW010000014.1:329721(37%)=withheld_by_bar;MTLalpha2@JAJTTW010000014.1:329727(39%)=withheld_by_bar;Rsm22-like@JAJTTW010000008.1:980463(32%)=no_locus;mat1-Mc@JAJTTW010000001.1:2031169(37%)=withheld_by_bar;mat1-Pi@JAJTTW010000014.1:329739(41%)=withheld_by_bar;matMc@JAJTTW010000001.1:2031169(31%)=withheld_by_bar;matPi@JAJTTW010000014.1:329718(42%)=withheld_by_bar
GCA_036971255.1_ASM3697125v1	Orbiliales	withheld	best_hit_elsewhere	JAJTTX010000027.1:9396-22700	MAT1-2-1@JAJTTX010000009.1:97430(42%)=withheld_by_bar;MATALPHA2@JAJTTX010000014.1:308129(40%)=withheld_by_bar;MTLalpha2@JAJTTX010000014.1:308129(39%)=withheld_by_bar;Rsm22-like@JAJTTX010000010.1:1006212(30%)=no_locus;mat1-Mc@JAJTTX010000007.1:523542(37%)=withheld_by_bar;mat1-Pi@JAJTTX010000014.1:308165(37%)=withheld_by_bar;matMc@JAJTTX010000007.1:523530(46%)=withheld_by_bar;matPi@JAJTTX010000014.1:308162(35%)=withheld_by_bar
GCA_036971285.1_ASM3697128v1	Orbiliales	withheld	best_hit_elsewhere	JAJTTZ010000015.1:1452914-1471653	MAT1-2-1@JAJTTZ010000002.1:2828814(44%)=withheld_by_bar;Rsm22-like@JAJTTZ010000015.1:1082346(31%)=no_locus;mat1-Mc@JAJTTZ010000014.1:518655(31%)=withheld_by_bar;matMc@JAJTTZ010000014.1:518655(34%)=withheld_by_bar;matPi@JAJTTZ010000019.1:145466(37%)=withheld_by_bar
GCA_036971295.1_ASM3697129v1	Orbiliales	low	best_hit_elsewhere	JAJTTY010000005.1:340799-358436	MAT1-2-1@JAJTTY010000009.1:521832(29%)=withheld_by_bar;Rsm22-like@JAJTTY010000005.1:727162(32%)=no_locus;mat1-Mc@JAJTTY010000009.1:521832(31%)=withheld_by_bar;matMc@JAJTTY010000009.1:521832(33%)=withheld_by_bar;matPi@JAJTTY010000001.1:1918691(46%)=withheld_by_bar
GCA_036971325.1_ASM3697132v1	Orbiliales	low	best_hit_elsewhere	JAJTUA010000003.1:289601-300427	MAT1-2-1@JAJTUA010000007.1:1387420(29%)=withheld_by_bar;Rsm22-like@JAJTUA010000003.1:677477(32%)=no_locus;mat1-Mc@JAJTUA010000007.1:1387507(31%)=withheld_by_bar;matMc@JAJTUA010000007.1:1387507(33%)=withheld_by_bar;matPi@JAJTUA010000001.1:2074121(46%)=withheld_by_bar
GCA_036971385.1_ASM3697138v1	Orbiliales	withheld	best_hit_elsewhere	JAJTUD010000010.1:284030-293016	MAT1-2-1@JAJTUD010000014.1:100239(39%)=withheld_by_bar;Rsm22-like@JAJTUD010000010.1:620176(32%)=no_locus;mat1-Mc@JAJTUD010000017.1:489096(43%)=withheld_by_bar;matMc@JAJTUD010000017.1:489096(49%)=withheld_by_bar;matPi@JAJTUD010000001.1:1871111(38%)=withheld_by_bar
GCA_036971405.1_ASM3697140v1	Orbiliales	withheld	best_hit_elsewhere	JAJTUE010000010.1:321015-329618	MAT1-2-1@JAJTUE010000003.1:1374252(40%)=withheld_by_bar;Rsm22-like@JAJTUE010000010.1:629232(32%)=no_locus;mat1-Mc@JAJTUE010000011.1:979652(29%)=withheld_by_bar;matMc@JAJTUE010000011.1:979652(32%)=withheld_by_bar;matPi@JAJTUE010000001.1:2492376(36%)=withheld_by_bar
GCA_036971435.1_ASM3697143v1	Orbiliales	withheld	best_hit_elsewhere	JAKDFA010000013.1:1228770-1280614	MAT1-2-1@JAKDFA010000014.1:509365(27%)=withheld_by_bar;Rsm22-like@JAKDFA010000013.1:924929(32%)=withheld_by_bar;mat1-Mc@JAKDFA010000014.1:509365(29%)=withheld_by_bar;matMc@JAKDFA010000014.1:509365(34%)=withheld_by_bar;matPi@JAKDFA010000001.1:1766265(37%)=withheld_by_bar
GCA_036971535.1_ASM3697153v1	Orbiliales	withheld	best_hit_elsewhere	JAJTUG010000022.1:341859-356785	MAT1-2-1@JAJTUG010000003.1:2330088(43%)=withheld_by_bar;Rsm22-like@JAJTUG010000011.1:926020(39%)=withheld_by_bar;mat1-Mc@JAJTUG010000006.1:1059062(41%)=withheld_by_bar;matMc@JAJTUG010000006.1:1059050(46%)=withheld_by_bar;matPi@JAJTUG010000002.1:1877614(46%)=withheld_by_bar
GCA_036971555.1_ASM3697155v1	Orbiliales	withheld	best_hit_elsewhere	JAJTUH010000011.1:371954-398488	MAT1-2-1@JAJTUH010000007.1:2443924(40%)=withheld_by_bar;Rsm22-like@JAJTUH010000011.1:781499(31%)=no_locus;mat1-Mc@JAJTUH010000002.1:2313602(36%)=withheld_by_bar;matMc@JAJTUH010000002.1:2313602(46%)=withheld_by_bar;matPi@JAJTUH010000006.1:1926122(36%)=withheld_by_bar
GCA_036971575.1_ASM3697157v1	Orbiliales	low	best_hit_elsewhere	JAJTUI010000009.1:278087-281577	MAT1-2-1@JAJTUI010000021.1:100445(38%)=withheld_by_bar;MATA2@JAJTUI010000004.1:270883(37%)=withheld_by_bar;MATALPHA2@JAJTUI010000004.1:270853(42%)=withheld_by_bar;MTLalpha2@JAJTUI010000004.1:270874(40%)=withheld_by_bar;Rsm22-like@JAJTUI010000009.1:646030(29%)=no_locus;mat1-Mc@JAJTUI010000012.1:487959(27%)=withheld_by_bar;matMc@JAJTUI010000012.1:487959(32%)=withheld_by_bar;matPi@JAJTUI010000004.1:270907(37%)=withheld_by_bar
GCA_036971655.1_TWF281	Orbiliales	withheld	best_hit_elsewhere	JAVHJN010000012.1:300759-312358	MAT1-2-1@JAVHJN010000005.1:101003(39%)=withheld_by_bar;MATA2@JAVHJN010000009.1:321296(38%)=withheld_by_bar;MATALPHA2@JAVHJN010000009.1:321311(43%)=withheld_by_bar;MTLalpha2@JAVHJN010000009.1:321278(30%)=withheld_by_bar;Rsm22-like@JAVHJN010000012.1:672814(30%)=withheld_by_bar;mat1-Mc@JAVHJN010000006.1:1247526(37%)=withheld_by_bar;mat1-Pi@JAVHJN010000009.1:321314(37%)=withheld_by_bar;matMc@JAVHJN010000006.1:1247514(46%)=withheld_by_bar;matPi@JAVHJN010000009.1:321311(32%)=withheld_by_bar
GCA_037042115.1_ASM3704211v1	Dipodascales	low	best_hit_elsewhere	JAXQJU010000475.1:4361-6820	MAT1-1-3@JAXQJU010000655.1:1086(27%)=withheld_by_bar;MAT1-2-1@JAXQJU010000655.1:975(27%)=withheld_by_bar;MATA1@JAXQJU010000169.1:8604(26%)=withheld_by_bar;MATA2@JAXQJU010000159.1:8672(36%)=withheld_by_bar;MATALPHA2@JAXQJU010000159.1:8699(39%)=withheld_by_bar;MTLalpha2@JAXQJU010000159.1:8612(35%)=withheld_by_bar;mat1-Mc@JAXQJU010000655.1:1149(26%)=withheld_by_bar;mat1-Pi@JAXQJU010000159.1:8723(55%)=withheld_by_bar;matMc@JAXQJU010000655.1:1140(31%)=withheld_by_bar;matPi@JAXQJU010000159.1:8702(42%)=withheld_by_bar
GCA_038497395.1_Lipokono1	Lipomycetales	low	best_hit_here	MU971340.1:257291-350779	MAT1-1-3@MU971388.1:46742(28%)=withheld_by_bar;MAT1-2-1@MU971388.1:46718(31%)=withheld_by_bar;MATALPHA2@MU971363.1:9359(42%)=withheld_by_bar;Rsm22-like@MU971378.1:103766(33%)=no_locus;mat1-Mc@MU971339.1:80739(35%)=withheld_by_bar;mat1-Pi@MU971363.1:9392(52%)=withheld_by_bar;matMc@MU971388.1:46691(27%)=withheld_by_bar;matPi@MU971363.1:9371(48%)=withheld_by_bar
GCA_038497425.1_Liptetra1	Lipomycetales	low	best_hit_here	MU968990.1:215332-244087	MATALPHA2@MU968974.1:93987(41%)=withheld_by_bar;Rsm22-like@MU968999.1:144937(37%)=withheld_by_bar;mat1-Pi@MU968974.1:93990(52%)=withheld_by_bar;matPi@MU968974.1:93987(46%)=withheld_by_bar
GCA_038497925.1_Lst7851_1	Lipomycetales	low	best_hit_here	MU971828.1:274502-299933	MATALPHA2@MU971827.1:228308(38%)=withheld_by_bar;Rsm22-like@MU971819.1:133418(30%)=no_locus;mat1-Pi@MU971827.1:228371(52%)=withheld_by_bar;matPi@MU971827.1:228287(38%)=withheld_by_bar
GCA_038497925.1_Lst7851_1	Lipomycetales	low	best_hit_here	MU971828.1:274502-299933	MATALPHA2@MU971827.1:228308(38%)=withheld_by_bar;Rsm22-like@MU971819.1:133418(30%)=no_locus;mat1-Pi@MU971827.1:228371(52%)=withheld_by_bar;matPi@MU971827.1:228287(38%)=withheld_by_bar
GCA_047671915.1_ASM4767191v1	Orbiliales	low	best_hit_elsewhere	JBAMKL010000499.1:3799-16349	MAT1-2-1@JBAMKL010002172.1:5556(36%)=withheld_by_bar;Rsm22-like@JBAMKL010001414.1:657(35%)=no_locus;mat1-Mc@JBAMKL010000840.1:863(41%)=withheld_by_bar;matMc@JBAMKL010000840.1:863(45%)=withheld_by_bar;matPi@JBAMKL010000518.1:18651(46%)=withheld_by_bar
GCA_047671935.1_ASM4767193v1	Orbiliales	low	best_hit_elsewhere	JBAMKM010000545.1:544-13554	MAT1-2-1@JBAMKM010000567.1:13595(36%)=withheld_by_bar;Rsm22-like@JBAMKM010001242.1:1679(35%)=no_locus;mat1-Mc@JBAMKM010000226.1:38124(41%)=withheld_by_bar;matMc@JBAMKM010000226.1:38124(45%)=withheld_by_bar;matPi@JBAMKM010002762.1:2126(33%)=withheld_by_bar
GCA_047671935.1_ASM4767193v1	Orbiliales	low	best_hit_elsewhere	JBAMKM010000545.1:990-13439	MAT1-2-1@JBAMKM010000567.1:13595(36%)=withheld_by_bar;Rsm22-like@JBAMKM010001242.1:1679(35%)=no_locus;mat1-Mc@JBAMKM010000226.1:38124(41%)=withheld_by_bar;matMc@JBAMKM010000226.1:38124(45%)=withheld_by_bar;matPi@JBAMKM010002762.1:2126(33%)=withheld_by_bar
GCA_047716655.1_ASM4771665v1	Orbiliales	withheld	best_hit_elsewhere	JBAMJN010000737.1:13443-20268	MAT1-2-1@JBAMJN010000807.1:6592(36%)=withheld_by_bar;Rsm22-like@JBAMJN010000887.1:5683(35%)=no_locus;mat1-Mc@JBAMJN010001496.1:1371(41%)=withheld_by_bar;matMc@JBAMJN010001496.1:1371(45%)=withheld_by_bar;matPi@JBAMJN010003228.1:3431(33%)=withheld_by_bar
GCA_057557895.1_ASM5755789v1	Dipodascales	low	best_hit_elsewhere	JBWXUM010000152.1:19788-26837	MAT1-1-3@JBWXUM010000051.1:8038(36%)=withheld_by_bar;MAT1-2-1@JBWXUM010000051.1:8011(48%)=withheld_by_bar;MATALPHA2@JBWXUM010000016.1:83551(42%)=withheld_by_bar;Rsm22-like@JBWXUM010000075.1:1421(28%)=no_locus;mat1-Mc@JBWXUM010000051.1:8053(39%)=withheld_by_bar;mat1-Pi@JBWXUM010000016.1:83554(40%)=withheld_by_bar;matMc@JBWXUM010000051.1:8029(39%)=withheld_by_bar;matPi@JBWXUM010000016.1:83551(59%)=withheld_by_bar
GCA_060307455.1_ASM6030745v1	Xylariales	low	best_hit_elsewhere	JCBLTT010000052.1:10-12206	MAT1-1-3@JCBLTT010000025.1:18874(33%)=withheld_by_bar;MAT1-2-1@JCBLTT010000025.1:18871(43%)=withheld_by_bar
GCA_900518985.1_YAAL0	Dipodascales	withheld	best_hit_here	ULGN01000006.1:292382-309793	MAT1-1-3@ULGN01000003.1:1092108(34%)=withheld_by_bar;MAT1-2-1@ULGN01000003.1:1092105(50%)=withheld_by_bar;MTLalpha2@ULGN01000003.1:2913157(37%)=withheld_by_bar;Rsm22-like@ULGN01000007.1:641868(29%)=withheld_by_bar;mat1-Mc@ULGN01000003.1:1092108(41%)=withheld_by_bar;mat1-Pi@ULGN01000003.1:2913163(43%)=withheld_by_bar;matMc@ULGN01000003.1:1092114(40%)=withheld_by_bar;matPi@ULGN01000003.1:2913160(52%)=withheld_by_bar
GCA_900518985.1_YAAL0	Dipodascales	low	best_hit_here	ULGN01000006.1:292382-309793	MAT1-1-3@ULGN01000003.1:1092108(34%)=withheld_by_bar;MAT1-2-1@ULGN01000003.1:1092105(50%)=withheld_by_bar;MTLalpha2@ULGN01000003.1:2913157(37%)=withheld_by_bar;Rsm22-like@ULGN01000007.1:641868(29%)=withheld_by_bar;mat1-Mc@ULGN01000003.1:1092108(41%)=withheld_by_bar;mat1-Pi@ULGN01000003.1:2913163(43%)=withheld_by_bar;matMc@ULGN01000003.1:1092114(40%)=withheld_by_bar;matPi@ULGN01000003.1:2913160(52%)=withheld_by_bar
GCA_900519055.1_YAGA0	Dipodascales	low	best_hit_elsewhere	ULGS01000006.1:145622-153691	MAT1-1-3@ULGS01000002.1:1010917(32%)=withheld_by_bar;MAT1-2-1@ULGS01000002.1:1010929(49%)=withheld_by_bar;Rsm22-like@ULGS01000004.1:1268797(30%)=withheld_by_bar;mat1-Mc@ULGS01000002.1:1010917(41%)=withheld_by_bar;matMc@ULGS01000002.1:1010929(41%)=withheld_by_bar;matPi@ULGS01000005.1:748105(54%)=withheld_by_bar
GCA_900519055.1_YAGA0	Dipodascales	low	best_hit_elsewhere	ULGS01000006.1:145622-153691	MAT1-1-3@ULGS01000002.1:1010917(32%)=withheld_by_bar;MAT1-2-1@ULGS01000002.1:1010929(49%)=withheld_by_bar;Rsm22-like@ULGS01000004.1:1268797(30%)=withheld_by_bar;mat1-Mc@ULGS01000002.1:1010917(41%)=withheld_by_bar;matMc@ULGS01000002.1:1010929(41%)=withheld_by_bar;matPi@ULGS01000005.1:748105(54%)=withheld_by_bar
GCA_964254685.1_public_SRR1531517_concoct_bin.16	Pertusariales	low	best_hit_here	CAXUTT010000267.1:5504-18172	MAT1-2-1@CAXUTT010000001.1:313492(46%)=no_locus
GCF_000441935.1_MHA_v2	Orbiliales	withheld	best_hit_elsewhere	NW_011644707.1:27407-35833	MAT1-2-1@NW_011644365.1:380921(40%)=withheld_by_bar;Rsm22-like@NW_011644375.1:9062(33%)=no_locus;mat1-Mc@NW_011644728.1:33521(41%)=withheld_by_bar;matMc@NW_011644728.1:33521(44%)=withheld_by_bar;matPi@NW_011644520.1:59893(37%)=withheld_by_bar
GCF_029532465.1_Liptet1	Lipomycetales	low	best_hit_here	NW_026611597.1:1158352-1187108	MATALPHA2@NW_026611605.1:526890(41%)=withheld_by_bar;Rsm22-like@NW_026611599.1:1302743(37%)=withheld_by_bar;mat1-Pi@NW_026611605.1:526893(52%)=withheld_by_bar;matPi@NW_026611605.1:526890(46%)=withheld_by_bar
GCA_000587855.1_B50	Mucorales	withheld	best_hit_here	KK076501.1:473260-520603	btbA@KK076459.1:390155(45%)=no_locus;sexP@KK076440.1:18559(30%)=withheld_by_bar
GCA_000697415.1_UmbIsaB7317-1.0	Umbelopsidales	low	best_hit_here	JNEQ01000056.1:749075-753439	btbA@JNEQ01000042.1:843022(29%)=no_locus;sexM@JNEQ01000036.1:1320636(43%)=no_locus
GCA_000697435.1_RhiVarB7584-1.0	Mucorales	withheld	best_hit_here	JNES01000944.1:209980-256000	btbA@JNES01000961.1:188183(45%)=no_locus;sexP@JNES01000953.1:221518(30%)=withheld_by_bar
GCA_016758895.1_ASM1675889v1	Umbelopsidales	low	best_hit_elsewhere	JAEPRA010000016.1:141223-158571	btbA@JAEPRA010000004.1:1229359(30%)=no_locus;sexM@JAEPRA010000006.1:1005003(27%)=withheld_by_bar;sexP@JAEPRA010000006.1:1005000(27%)=withheld_by_bar
GCA_016758905.1_ASM1675890v1	Umbelopsidales	low	best_hit_elsewhere	JAEPQZ010000017.1:104013-119940	btbA@JAEPQZ010000008.1:861286(31%)=no_locus;sexM@JAEPQZ010000010.1:891048(34%)=no_locus;sexP@JAEPQZ010000017.1:416184(26%)=called_flankcarried
GCA_016758905.1_ASM1675890v1	Umbelopsidales	low	best_hit_here	JAEPQZ010000017.1:412287-416732	btbA@JAEPQZ010000008.1:861286(31%)=no_locus;sexM@JAEPQZ010000010.1:891048(34%)=no_locus
GCA_027595865.1_Umbelopsis_isabellina_MPG-14A_reass_enz	Umbelopsidales	low	best_hit_here	JANJFK010000028.1:163721-168087	btbA@JANJFK010000001.1:176970(29%)=no_locus;sexM@JANJFK010000029.1:127024(43%)=no_locus
GCA_037039815.1_ASM3703981v1	Umbelopsidales	withheld	best_hit_elsewhere	JAXQGL010000038.1:212610-237840	btbA@JAXQGL010000051.1:242008(30%)=no_locus;sexM@JAXQGL010000050.1:377535(45%)=no_locus;sexP@JAXQGL010000038.1:443359(25%)=called_flankcarried
GCA_037039815.1_ASM3703981v1	Umbelopsidales	low	best_hit_here	JAXQGL010000038.1:439445-444075	btbA@JAXQGL010000051.1:242008(30%)=no_locus;sexM@JAXQGL010000050.1:377535(45%)=no_locus
GCA_053572175.1_ASM5357217v1	Umbelopsidales	low	best_hit_elsewhere	JAYKKX010000013.1:106814-110949	btbA@JAYKKX010000006.1:457542(30%)=no_locus;sexM@JAYKKX010000002.1:1331624(36%)=no_locus;sexP@JAYKKX010000002.1:1776042(35%)=no_locus
GCA_054906655.1_Umbelopsis_nana_v._1.0	Umbelopsidales	low	best_hit_elsewhere	BAAHSD010000001.1:143205-160100	btbA@BAAHSD010000002.1:2044539(31%)=no_locus;sexM@BAAHSD010000004.1:1092027(35%)=no_locus;sexP@BAAHSD010000004.1:391609(25%)=no_locus
GCA_964291815.1_UMBE_WA70503	Umbelopsidales	low	best_hit_elsewhere	CAXYTU010000169.1:106865-111000	btbA@CAXYTU010000180.1:843042(30%)=no_locus;sexM@CAXYTU010000112.1:1153648(36%)=no_locus;sexP@CAXYTU010000112.1:1598237(35%)=no_locus
GCA_977092135.1_gzAbsCyli1	Mucorales	low	best_hit_elsewhere	CDRYNH010000012.1:717983-761620	btbA@CDRYNH010000029.1:2989218(54%)=no_locus;sexM@CDRYNH010000023.1:4856217(40%)=called_coremodelled;sexP@CDRYNH010000023.1:4856526(38%)=called_coremodelled
GCA_977110905.1_gzMucHiem1	Mucorales	low	best_hit_elsewhere	CDSBDF010000023.1:973776-1012464	btbA@CDSBDF010000020.1:3356819(44%)=no_locus;sexM@CDSBDF010000022.1:1487016(30%)=no_locus;sexP@CDSBDF010000023.1:1222374(31%)=no_locus
GCA_977110975.1_gzUmbVina2	Umbelopsidales	low	best_hit_elsewhere	CDSBDG010000016.1:219389-223444	btbA@CDSBDG010000003.1:537157(33%)=no_locus;sexM@CDSBDG010000002.1:1085477(35%)=no_locus;sexP@CDSBDG010000002.1:668920(36%)=no_locus
GCF_025399195.1_Umbra1	Umbelopsidales	low	best_hit_elsewhere	NW_026252087.1:139483-157423	btbA@NW_026252100.1:204383(30%)=no_locus;sexM@NW_026252106.1:172370(32%)=no_locus;sexP@NW_026252104.1:330998(27%)=withheld_by_bar
GCA_019788775.1_ASM1978877v1	Mortierellales	withheld	best_hit_elsewhere	JAIFTL010000165.1:36645-50101	btbA@JAIFTL010000455.1:7180(23%)=no_locus;sexM@JAIFTL010000111.1:56508(46%)=no_locus;sexP@JAIFTL010000324.1:15194(38%)=no_locus
GCA_033807515.1_Morgam1	Mortierellales	withheld	best_hit_elsewhere	JAWHKS010000011.1:208935-273008	btbA@JAWHKS010000150.1:53134(23%)=no_locus;sexM@JAWHKS010000079.1:61784(44%)=no_locus;sexP@JAWHKS010000079.1:61763(34%)=no_locus
GCA_027577175.1_UCR_CoemS146_1.0	Kickxellales	low	best_hit_elsewhere	JANBQN010000031.1:57994-126852	sexM@JANBQN010000157.1:9838(40%)=no_locus;sexP@JANBQN010000157.1:9910(46%)=no_locus
