panel	genome	order	species	mat_family	outcome	why	max_core_dist_bp	call	gene	rank_here	n_loci_e1e-3	here_evalue	here_bits	here_pid	best_evalue	best_where
cap6	GCA_047716655.1_ASM4771665v1	Orbiliales	Hyalorbilia oviparasitica	Ascomycota:MAT	withheld	core_outside_span	1364	JBAMJN010000737.1:13443-20268	MAT1-2-1	4	4	0.00025	42.4	45.455	2.89e-10	JBAMJN010000807.1:6592
cap6	GCA_057557895.1_ASM5755789v1	Dipodascales	Sugiyamaella sp. LJX2-8	Ascomycota:MATyl	low	inside	0	JBWXUM010000152.1:19788-26837	mata1	1	1	0.000629	38.5	39.024	0.000629	JBWXUM010000152.1:23433
cap6	GCA_060307455.1_ASM6030745v1	Xylariales	Xylariales sp. XT01	Ascomycota:MAT	low	inside	0	JCBLTT010000052.1:10-12206	MAT1-1-3	4	3	0.012	35.8	24.39	2.56e-09	JCBLTT010000025.1:18874
cap6	GCA_060307455.1_ASM6030745v1	Xylariales	Xylariales sp. XT01	Ascomycota:MAT	low	inside	0	JCBLTT010000052.1:10-12206	MAT1-2-1	4	3	0.004	39.3	24.812	5.28e-16	JCBLTT010000025.1:18871
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MAT	withheld	core_outside_span	5898	ULGN01000006.1:292382-309793	MAT1-1-1	4	0	0.66	31.6	26.471	0.043	ULGN01000008.1:321451
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MAT	withheld	core_outside_span	5898	ULGN01000006.1:292382-309793	MAT1-1-5	8	0	7.1	28.1	31.034	0.19	ULGN01000001.1:2777276
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MAT	withheld	core_outside_span	5898	ULGN01000006.1:292382-309793	MAT1-2-4	1	0	0.34	31.6	24.39	0.34	ULGN01000006.1:309398
cap6	GCA_900518985.1_YAAL0	Dipodascales	Yarrowia alimentaria	Ascomycota:MATtub	low	inside	0	ULGN01000006.1:292382-309793	MAT1-2-1	33	2	5.8	28.1	20.603	2.42e-16	ULGN01000003.1:1092105
cap6	GCA_900519055.1_YAGA0	Dipodascales	Yarrowia galli	Ascomycota:MAT	low	inside	0	ULGS01000006.1:145622-153691	MAT1-1-1	14	0	2.4	30.0	23.232	1.0	ULGS01000005.1:4916690
cap6	GCA_900519055.1_YAGA0	Dipodascales	Yarrowia galli	Ascomycota:MATtub	low	inside	0	ULGS01000006.1:145622-153691	MAT1-1-1	14	0	2.4	30.0	23.232	1.0	ULGS01000005.1:4916690
cap6	GCA_964254685.1_public_SRR1531517_concoct_bin.16	Pertusariales	Dibaeis baeomyces	Ascomycota:MAT	low	inside	0	CAXUTT010000267.1:5504-18172	MAT1-1-1	1	1	3.12e-17	82.8	31.2	3.12e-17	CAXUTT010000267.1:12436
cap6	GCF_000441935.1_MHA_v2	Orbiliales	Dactylellina haptotyla	Ascomycota:MAT	withheld	core_outside_span	2985	NW_011644707.1:27407-35833	MAT1-2-1	4	3	0.073	35.8	58.621	6.84e-09	NW_011644365.1:380921
cap6	GCF_029532465.1_Liptet1	Lipomycetales	Lipomyces tetrasporus	Ascomycota:MATyl	low	inside	0	NW_026611597.1:1158352-1187108	mata1	1	0	0.11	32.3	37.838	0.11	NW_026611597.1:1182113
Mucoromycota	GCA_000587855.1_B50	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	core_outside_span	6947	KK076501.1:473260-520603	sexM	1	8	1.48e-13	68.2	27.841	1.48e-13	KK076501.1:494219
Mucoromycota	GCA_000587855.1_B50	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	core_outside_span	6947	KK076501.1:473260-520603	sexP	6	10	7.02e-05	44.3	26.087	1.01e-08	KK076440.1:18559
Mucoromycota	GCA_000697415.1_UmbIsaB7317-1.0	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JNEQ01000056.1:749075-753439	sexM	7	3	0.016	35.0	31.325	1.88e-10	JNEQ01000036.1:1766028
Mucoromycota	GCA_000697415.1_UmbIsaB7317-1.0	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JNEQ01000056.1:749075-753439	sexP	1	10	6.76e-11	62.4	26.154	6.76e-11	JNEQ01000056.1:749174
Mucoromycota	GCA_000697435.1_RhiVarB7584-1.0	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	core_outside_span	6468	JNES01000944.1:209980-256000	sexM	1	8	1.43e-13	68.2	27.841	1.43e-13	JNES01000944.1:230458
Mucoromycota	GCA_000697435.1_RhiVarB7584-1.0	Mucorales	Mucor irregularis	Mucoromycota:MAT	withheld	core_outside_span	6468	JNES01000944.1:209980-256000	sexP	5	9	6.82e-05	44.3	26.087	9.84e-09	JNES01000953.1:221518
Mucoromycota	GCA_016758895.1_ASM1675889v1	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	inside	0	JAEPRA010000016.1:141223-158571	sexM	4	5	1.47e-05	44.3	36.232	3.41e-11	JAEPRA010000006.1:1004997
Mucoromycota	GCA_016758895.1_ASM1675889v1	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	inside	0	JAEPRA010000016.1:141223-158571	sexP	13	7	0.063	34.7	27.451	1.85e-07	JAEPRA010000006.1:1005000
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JAEPQZ010000017.1:104013-119940	sexP	30	8	7.2	27.7	34.286	8.9e-10	JAEPQZ010000017.1:416184
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JAEPQZ010000017.1:412287-416732	sexM	4	4	0.000844	39.3	28.736	4.89e-10	JAEPQZ010000010.1:891048
Mucoromycota	GCA_016758905.1_ASM1675890v1	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JAEPQZ010000017.1:412287-416732	sexP	1	8	8.9e-10	58.9	25.926	8.9e-10	JAEPQZ010000017.1:416184
Mucoromycota	GCA_027595865.1_Umbelopsis_isabellina_MPG-14A_reass_enz	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JANJFK010000028.1:163721-168087	sexM	7	3	0.016	35.0	31.325	1.71e-09	JANJFK010000029.1:127024
Mucoromycota	GCA_027595865.1_Umbelopsis_isabellina_MPG-14A_reass_enz	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	inside	0	JANJFK010000028.1:163721-168087	sexP	1	9	6.74e-11	62.4	26.154	6.74e-11	JANJFK010000028.1:163820
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Umbelopsis sp. M5902	Mucoromycota:MAT	withheld	core_outside_span	9429	JAXQGL010000038.1:212610-237840	sexP	24	10	3.7	28.5	22.807	1.5e-09	JAXQGL010000038.1:443359
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Umbelopsis sp. M5902	Mucoromycota:MAT	low	inside	0	JAXQGL010000038.1:439445-444075	sexM	4	3	0.004	37.4	36.364	1.29e-10	JAXQGL010000050.1:827805
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Umbelopsis sp. M5902	Mucoromycota:MAT	low	inside	0	JAXQGL010000038.1:439445-444075	sexP	1	10	1.5e-09	58.2	25.191	1.5e-09	JAXQGL010000038.1:443359
Mucoromycota	GCA_053572175.1_ASM5357217v1	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	inside	0	JAYKKX010000013.1:106814-110949	sexM	4	5	0.000183	40.8	31.034	3.23e-11	JAYKKX010000002.1:1331624
Mucoromycota	GCA_053572175.1_ASM5357217v1	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	inside	0	JAYKKX010000013.1:106814-110949	sexP	12	10	0.23	32.7	27.778	8.37e-07	JAYKKX010000002.1:1776042
Mucoromycota	GCA_054906655.1_Umbelopsis_nana_v._1.0	Umbelopsidales	Umbelopsis nana	Mucoromycota:MAT	low	inside	0	BAAHSD010000001.1:143205-160100	sexM	9	6	0.11	32.7	28.0	5.33e-11	BAAHSD010000004.1:1092027
Mucoromycota	GCA_054906655.1_Umbelopsis_nana_v._1.0	Umbelopsidales	Umbelopsis nana	Mucoromycota:MAT	low	inside	0	BAAHSD010000001.1:143205-160100	sexP	14	10	0.19	33.5	28.169	1.54e-07	BAAHSD010000004.1:391609
Mucoromycota	GCA_964291815.1_UMBE_WA70503	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	inside	0	CAXYTU010000169.1:106865-111000	sexM	4	5	0.00018	40.8	31.034	3.18e-11	CAXYTU010000112.1:1153648
Mucoromycota	GCA_964291815.1_UMBE_WA70503	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	inside	0	CAXYTU010000169.1:106865-111000	sexP	12	10	0.22	32.7	27.778	8.23e-07	CAXYTU010000112.1:1598237
Mucoromycota	GCA_977092135.1_gzAbsCyli1	Mucorales	Absidia cylindrospora	Mucoromycota:MAT	low	inside	0	CDRYNH010000012.1:717983-761620	sexM	14	7	0.72	31.6	29.268	5.47e-36	CDRYNH010000023.1:4856217
Mucoromycota	GCA_977092135.1_gzAbsCyli1	Mucorales	Absidia cylindrospora	Mucoromycota:MAT	low	inside	0	CDRYNH010000012.1:717983-761620	sexP	11	6	0.015	37.7	38.462	8.65e-08	CDRYNH010000023.1:4856526
Mucoromycota	GCA_977110905.1_gzMucHiem1	Mucorales	Mucor hiemalis	Mucoromycota:MAT	low	inside	0	CDSBDF010000023.1:973776-1012464	sexM	2	4	1.02e-08	54.7	27.32	4.96e-10	CDSBDF010000022.1:1487016
Mucoromycota	GCA_977110905.1_gzMucHiem1	Mucorales	Mucor hiemalis	Mucoromycota:MAT	low	inside	0	CDSBDF010000023.1:973776-1012464	sexP	7	8	0.000286	42.7	37.333	8.35e-09	CDSBDF010000023.1:1222374
Mucoromycota	GCA_977110975.1_gzUmbVina2	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	inside	0	CDSBDG010000016.1:219389-223444	sexM	5	5	0.000593	39.7	34.783	1.21e-09	CDSBDG010000002.1:1085441
Mucoromycota	GCA_977110975.1_gzUmbVina2	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	inside	0	CDSBDG010000016.1:219389-223444	sexP	13	10	0.086	34.3	26.389	8.72e-07	CDSBDG010000002.1:668920
Mucoromycota	GCF_025399195.1_Umbra1	Umbelopsidales	Umbelopsis ramanniana	Mucoromycota:MAT	low	inside	0	NW_026252087.1:139483-157423	sexM	8	4	0.12	32.7	20.856	5.63e-12	NW_026252106.1:172367
Mucoromycota	GCF_025399195.1_Umbra1	Umbelopsidales	Umbelopsis ramanniana	Mucoromycota:MAT	low	inside	0	NW_026252087.1:139483-157423	sexP	5	9	4.72e-06	47.4	30.12	1.34e-07	NW_026252104.1:330998
Mortierellomycota	GCA_019788775.1_ASM1978877v1	Mortierellales	Mortierella alpina	Mucoromycota:MAT	withheld	core_outside_span	3179	JAIFTL010000165.1:36645-50101	sexM	32	7	6.6	27.7	38.636	5.51e-15	JAIFTL010000111.1:56505
Mortierellomycota	GCA_033807515.1_Morgam1	Mortierellales	Linnemannia gamsii	Mucoromycota:MAT	withheld	core_outside_span	54000	JAWHKS010000011.1:208935-273008	sexP	32	7	9.0	28.9	29.032	4.92e-08	JAWHKS010000003.1:147297
Kickxellomycota	GCA_027577175.1_UCR_CoemS146_1.0	Kickxellales	Coemansia sp. S146	Mucoromycota:MAT	low	inside	0	JANBQN010000031.1:57994-126852	sexM	17	12	0.52	30.4	30.556	1.38e-18	JANBQN010000157.1:9838
