panel	genome	order	species	mat_family	outcome	call	gene	domain	rank_here	n_loci_genomewide	best_here_bits	best_here_pid	best_bits	best_where
Mucoromycota	GCA_027595865.1_Umbelopsis_isabellina_MPG-14A_reass_enz	Umbelopsidales	Umbelopsis isabellina	Mucoromycota:MAT	low	JANJFK010000028.1:163721-168087	sexP	HMG	1	10	62.4	26.154	62.4	JANJFK010000028.1:163820
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Umbelopsis sp. M5902	Mucoromycota:MAT	withheld	JAXQGL010000038.1:212610-237840	sexP	HMG	absent	10			58.2	JAXQGL010000038.1:443359
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Umbelopsis sp. M5902	Mucoromycota:MAT	low	JAXQGL010000038.1:439445-444075	sexM	HMG	absent	3			57.4	JAXQGL010000050.1:377535
Mucoromycota	GCA_037039815.1_ASM3703981v1	Umbelopsidales	Umbelopsis sp. M5902	Mucoromycota:MAT	low	JAXQGL010000038.1:439445-444075	sexP	HMG	1	10	58.2	25.191	58.2	JAXQGL010000038.1:443359
Mucoromycota	GCA_053572175.1_ASM5357217v1	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	JAYKKX010000013.1:106814-110949	sexM	HMG	4	5	40.8	36.232	60.5	JAYKKX010000002.1:1331624
Mucoromycota	GCA_053572175.1_ASM5357217v1	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	JAYKKX010000013.1:106814-110949	sexP	HMG	absent	9			50.1	JAYKKX010000002.1:1776042
Mucoromycota	GCA_054906655.1_Umbelopsis_nana_v._1.0	Umbelopsidales	Umbelopsis nana	Mucoromycota:MAT	low	BAAHSD010000001.1:143205-160100	sexM	HMG	absent	6			59.7	BAAHSD010000004.1:1092027
Mucoromycota	GCA_054906655.1_Umbelopsis_nana_v._1.0	Umbelopsidales	Umbelopsis nana	Mucoromycota:MAT	low	BAAHSD010000001.1:143205-160100	sexP	HMG	absent	11			52.4	BAAHSD010000004.1:391609
Mucoromycota	GCA_964291815.1_UMBE_WA70503	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	CAXYTU010000169.1:106865-111000	sexM	HMG	4	5	40.8	36.232	60.5	CAXYTU010000112.1:1153648
Mucoromycota	GCA_964291815.1_UMBE_WA70503	Umbelopsidales	Umbelopsis sp. WA50703	Mucoromycota:MAT	low	CAXYTU010000169.1:106865-111000	sexP	HMG	absent	9			50.1	CAXYTU010000112.1:1598237
Mucoromycota	GCA_977092135.1_gzAbsCyli1	Mucorales	Absidia cylindrospora	Mucoromycota:MAT	low	CDRYNH010000012.1:717983-761620	sexM	HMG	absent	6			135.0	CDRYNH010000023.1:4856217
Mucoromycota	GCA_977092135.1_gzAbsCyli1	Mucorales	Absidia cylindrospora	Mucoromycota:MAT	low	CDRYNH010000012.1:717983-761620	sexP	HMG	absent	4			54.3	CDRYNH010000023.1:4856526
Mucoromycota	GCA_977110905.1_gzMucHiem1	Mucorales	Mucor hiemalis	Mucoromycota:MAT	low	CDSBDF010000023.1:973776-1012464	sexM	HMG	2	4	54.3	26.582	57.8	CDSBDF010000022.1:1487016
Mucoromycota	GCA_977110905.1_gzMucHiem1	Mucorales	Mucor hiemalis	Mucoromycota:MAT	low	CDSBDF010000023.1:973776-1012464	sexP	HMG	7	8	42.7	37.333	57.0	CDSBDF010000023.1:1222374
Mucoromycota	GCA_977110975.1_gzUmbVina2	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	CDSBDG010000016.1:219389-223444	sexM	HMG	absent	4			52.4	CDSBDG010000002.1:1085477
Mucoromycota	GCA_977110975.1_gzUmbVina2	Umbelopsidales	Umbelopsis vinacea	Mucoromycota:MAT	low	CDSBDG010000016.1:219389-223444	sexP	HMG	absent	10			50.4	CDSBDG010000002.1:668920
Mucoromycota	GCF_025399195.1_Umbra1	Umbelopsidales	Umbelopsis ramanniana	Mucoromycota:MAT	low	NW_026252087.1:139483-157423	sexM	HMG	absent	4			63.5	NW_026252106.1:172370
Mucoromycota	GCF_025399195.1_Umbra1	Umbelopsidales	Umbelopsis ramanniana	Mucoromycota:MAT	low	NW_026252087.1:139483-157423	sexP	HMG	5	9	47.4	30.12	52.4	NW_026252104.1:330998
Mortierellomycota	GCA_019788775.1_ASM1978877v1	Mortierellales	Mortierella alpina	Mucoromycota:MAT	withheld	JAIFTL010000165.1:36645-50101	sexM	HMG	absent	6			72.4	JAIFTL010000111.1:56508
Mortierellomycota	GCA_033807515.1_Morgam1	Mortierellales	Linnemannia gamsii	Mucoromycota:MAT	withheld	JAWHKS010000011.1:208935-273008	sexP	HMG	absent	7			55.1	JAWHKS010000079.1:61763
Kickxellomycota	GCA_027577175.1_UCR_CoemS146_1.0	Kickxellales	Coemansia sp. S146	Mucoromycota:MAT	low	JANBQN010000031.1:57994-126852	sexM	HMG	absent	12			81.6	JANBQN010000157.1:9838
