asmid	method	bioproject	contigs	call
GCA_032694685.1_ASM3269468v1	flye v. 2.8.3	PRJNA987725	43	A
GCA_032694745.1_ASM3269474v1	flye v. 2.8.3	PRJNA987725	137	A
GCA_032694645.1_ASM3269464v1	flye v. 2.8.3	PRJNA987725	20	A
GCA_032694485.1_ASM3269448v1	flye v. 2.8.3	PRJNA987725	9	A
GCA_032694465.1_ASM3269446v1	flye v. 2.8.3	PRJNA987725	46	A
GCA_032694475.1_ASM3269447v1	flye v. 2.8.3	PRJNA987725	10	A
GCA_051989225.1_ASM5198922v1	SPAdes v. 3.5.0	PRJNA1291465	83	A
GCA_035582645.1_ASM3558264v1	SPAdes v. 3.9.0	PRJNA1025033	3954	alpha
GCA_035582625.1_ASM3558262v1	SPAdes v. 3.9.0	PRJNA1025033	2874	alpha
GCA_035582605.1_ASM3558260v1	SPAdes v. 3.9.0	PRJNA1025033	2759	alpha
GCA_035582585.1_ASM3558258v1	SPAdes v. 3.9.0	PRJNA1025033	5287	alpha
GCA_035582555.1_ASM3558255v1	SPAdes v. 3.9.0	PRJNA1025033	3875	alpha
GCA_035582525.1_ASM3558252v1	SPAdes v. 3.9.0	PRJNA1025033	4676	A
GCA_035582505.1_ASM3558250v1	SPAdes v. 3.9.0	PRJNA1025033	2014	alpha
GCA_902712835.3_Cau_1901_a	SPAdes	PRJEB34199	2730	A
GCA_902712125.3_Cau_1902_a	SPAdes	PRJEB34199	2781	A
GCA_902712115.3_Cau_1903_a	SPAdes	PRJEB34199	607	A
GCA_902712105.3_Cau_1904_a	SPAdes	PRJEB34199	2016	A
GCA_902712275.3_Cau_1905_a	SPAdes	PRJEB34199	2215	A
GCA_902712245.3_Cau_1906_a	SPAdes	PRJEB34199	1832	A
GCA_902712265.3_Cau_1907_a	SPAdes	PRJEB34199	592	A
GCA_902712235.3_Cau_1908_a	SPAdes	PRJEB34199	3373	A
GCA_902712215.3_Cau_1909_a	SPAdes	PRJEB34199	3310	A
GCA_902712225.3_Cau_1910_a	SPAdes	PRJEB34199	2372	A
GCA_902712255.3_Cau_1911_a	SPAdes	PRJEB34199	3319	A
GCA_902712175.3_Cau_1912_a	SPAdes	PRJEB34199	798	A
GCA_902712195.3_Cau_1913_a	SPAdes	PRJEB34199	672	A
GCA_902712135.3_Cau_1914_a	SPAdes	PRJEB34199	706	A
GCA_902712205.3_Cau_1915_a	SPAdes	PRJEB34199	709	A
GCA_902712145.3_Cau_1916_a	SPAdes	PRJEB34199	1040	A
GCA_902712185.3_Cau_1917_a	SPAdes	PRJEB34199	1305	A
GCA_902712155.3_Cau_1918_a	SPAdes	PRJEB34199	603	A
GCA_902712165.3_Cau_1919_a	SPAdes	PRJEB34199	386	A
GCA_019968925.1_ASM1996892v1	Shovill v. 1.0.0	PRJNA686013	8	A
GCA_030581515.1_ASM3058151v1	DISCOVAR v. r51885	PRJNA736342	211	alpha
GCA_053542915.1_CBS19051_v2	Flye v. 2.9.4	PRJNA1155597	7	A
GCA_054883665.1_ASM5488366v1	Flye v. 2.9.2	PRJNA1002224	8	alpha
GCA_053009075.1_ASM5300907v1	Flye v. 2.9.2	PRJNA1002224	8	alpha
GCA_048414655.1_ASM4841465v1	Flye v. v2.9.1-b1780	PRJNA1027067	8	A
GCA_048414635.1_ASM4841463v1	Flye v. v2.9.1-b1780	PRJNA1027067	12	A
GCA_048414855.1_ASM4841485v1	Flye v. v2.9.1-b1780	PRJNA1027067	7	A
GCA_048414815.1_ASM4841481v1	Flye v. v2.9.1-b1780	PRJNA1027067	15	A
GCA_048414565.1_ASM4841456v1	Flye v. v2.9.1-b1780	PRJNA1027067	13	A
GCA_048414545.1_ASM4841454v1	Flye v. v2.9.1-b1780	PRJNA1027067	7	alpha
GCA_047372335.1_ASM4737233v1	MaSuRCA v. 3.3.5	PRJNA1079026	201	A
GCA_047372315.1_ASM4737231v1	MaSuRCA v. 3.3.5	PRJNA1079026	270	A
GCA_047372255.1_ASM4737225v1	MaSuRCA v. 3.3.5	PRJNA1079026	223	A
GCA_047372275.1_ASM4737227v1	MaSuRCA v. 3.3.5	PRJNA1079026	239	A
GCA_047372215.1_ASM4737221v1	MaSuRCA v. 3.3.5	PRJNA1079026	248	A
GCA_047372195.1_ASM4737219v1	MaSuRCA v. 3.3.5	PRJNA1079026	223	A
GCA_047372165.1_ASM4737216v1	MaSuRCA v. 3.3.5	PRJNA1079026	145	A
GCA_047372125.1_ASM4737212v1	MaSuRCA v. 3.3.5	PRJNA1079026	256	A
GCA_047372105.1_ASM4737210v1	MaSuRCA v. 3.3.5	PRJNA1079026	180	A
GCA_047372045.1_ASM4737204v1	MaSuRCA v. 3.3.5	PRJNA1079026	213	A
GCA_047372075.1_ASM4737207v1	MaSuRCA v. 3.3.5	PRJNA1079026	317	A
GCA_047372015.1_ASM4737201v1	MaSuRCA v. 3.3.5	PRJNA1079026	232	A
GCA_047371985.1_ASM4737198v1	MaSuRCA v. 3.3.5	PRJNA1079026	190	A
GCA_047371935.1_ASM4737193v1	MaSuRCA v. 3.3.5	PRJNA1079026	249	A
GCA_047371895.1_ASM4737189v1	MaSuRCA v. 3.3.5	PRJNA1079026	275	A
GCA_047371915.1_ASM4737191v1	MaSuRCA v. 3.3.5	PRJNA1079026	235	A
GCA_047371865.1_ASM4737186v1	MaSuRCA v. 3.3.5	PRJNA1079026	275	A
GCA_047371805.1_ASM4737180v1	MaSuRCA v. 3.3.5	PRJNA1079026	184	A
GCA_047371755.1_ASM4737175v1	MaSuRCA v. 3.3.5	PRJNA1079026	203	A
GCA_047371725.1_ASM4737172v1	MaSuRCA v. 3.3.5	PRJNA1079026	208	A
GCA_047371665.1_ASM4737166v1	MaSuRCA v. 3.3.5	PRJNA1079026	262	A
GCA_047371645.1_ASM4737164v1	MaSuRCA v. 3.3.5	PRJNA1079026	179	A
GCA_047371635.1_ASM4737163v1	MaSuRCA v. 3.3.5	PRJNA1079026	242	A
GCA_047371575.1_ASM4737157v1	MaSuRCA v. 3.3.5	PRJNA1079026	254	A
GCA_047371555.1_ASM4737155v1	MaSuRCA v. 3.3.5	PRJNA1079026	1067	A
GCA_047371545.1_ASM4737154v1	MaSuRCA v. 3.3.5	PRJNA1079026	161	A
GCA_047371515.1_ASM4737151v1	MaSuRCA v. 3.3.5	PRJNA1079026	225	A
GCA_047371465.1_ASM4737146v1	MaSuRCA v. 3.3.5	PRJNA1079026	162	A
GCA_047371425.1_ASM4737142v1	MaSuRCA v. 3.3.5	PRJNA1079026	197	A
GCA_047371455.1_ASM4737145v1	MaSuRCA v. 3.3.5	PRJNA1079026	193	A
GCA_047371395.1_ASM4737139v1	MaSuRCA v. 3.3.5	PRJNA1079026	231	A
GCA_047371335.1_ASM4737133v1	MaSuRCA v. 3.3.5	PRJNA1079026	213	A
GCA_047371345.1_ASM4737134v1	MaSuRCA v. 3.3.5	PRJNA1079026	241	A
GCA_047371295.1_ASM4737129v1	MaSuRCA v. 3.3.5	PRJNA1079026	248	A
GCA_047371785.1_ASM4737178v1	MaSuRCA v. 3.3.5	PRJNA1079026	238	A
GCA_047371255.1_ASM4737125v1	MaSuRCA v. 3.3.5	PRJNA1079026	305	A
GCA_049638435.1_ASM4963843v1	Geneious Prime v. 2024.0.1	PRJNA1231771	70	A
GCA_049636595.1_ASM4963659v1	Geneious Prime v. 2024.0.1	PRJNA1231771	38	A
GCA_049638425.1_ASM4963842v1	Geneious Prime v. 2024.0.1	PRJNA1231771	63	A
GCA_049638395.1_ASM4963839v1	Geneious Prime v. 2024.0.1	PRJNA1231771	49	A
GCA_049638305.1_ASM4963830v1	Geneious Prime v. 2024.0.1	PRJNA1231771	66	A
GCA_049638255.1_ASM4963825v1	Geneious Prime v. 2024.0.1	PRJNA1231771	83	A
GCA_049638225.1_ASM4963822v1	Geneious Prime v. 2024.0.1	PRJNA1231771	84	A
GCA_049635905.1_ASM4963590v1	Geneious Prime v. 2024.0.1	PRJNA1231771	166	A
GCA_049635225.1_ASM4963522v1	Geneious Prime v. 2024.0.1	PRJNA1231771	133	A
GCA_049635165.1_ASM4963516v1	Geneious Prime v. 2024.0.1	PRJNA1231771	156	A
GCA_032367535.1_ASM3236753v1	Flye v. 2.9.1, Medaka v. 1.8.1, Pilon v. 1.24	PRJNA1000034	8	alpha
GCA_032714025.1_ASM3271402v1	Hybrid genome assembly v. Flye v2.9.1, Medaka v1.8.1, Pilon v1.24	PRJNA1000034	7	alpha
GCA_032715285.1_ASM3271528v1	Hybrid genome assembly v. Flye v2.9.1, Medaka v1.8.1, Pilon v1.24	PRJNA1000034	7	alpha
GCA_014638765.1_ASM1463876v1	SPAdes v. 3.14	PRJNA655187	150	A
GCA_014638955.1_ASM1463895v1	SPAdes v. 3.14	PRJNA655187	155	A
GCA_014638965.1_ASM1463896v1	SPAdes v. 3.14	PRJNA655187	150	A
GCA_014638895.1_ASM1463889v1	SPAdes v. 3.14	PRJNA655187	136	A
GCA_014638885.1_ASM1463888v1	SPAdes v. 3.14	PRJNA655187	151	A
GCA_014638875.1_ASM1463887v1	SPAdes v. 3.14	PRJNA655187	144	A
GCA_014638825.1_ASM1463882v1	SPAdes v. 3.14	PRJNA655187	151	A
GCA_014638805.1_ASM1463880v1	SPAdes v. 3.14	PRJNA655187	137	A
GCA_014638775.1_ASM1463877v1	SPAdes v. 3.14	PRJNA655187	144	A
GCA_056915445.1_ASM5691544v1	SPAdes v. 4.0.0	PRJNA1194488	382	A
GCA_056915435.1_ASM5691543v1	SPAdes v. 4.0.0	PRJNA1194488	682	A
GCA_056915415.1_ASM5691541v1	SPAdes v. 4.0.0	PRJNA1194488	838	A
GCA_056915505.1_ASM5691550v1	SPAdes v. 4.0.0	PRJNA1194488	728	A
GCA_056915745.1_ASM5691574v1	SPAdes v. 4.0.0	PRJNA1194488	762	A
GCA_056915715.1_ASM5691571v1	SPAdes v. 4.0.0	PRJNA1194488	689	A
GCA_056915655.1_ASM5691565v1	SPAdes v. 4.0.0	PRJNA1194488	639	A
GCA_056915685.1_ASM5691568v1	SPAdes v. 4.0.0	PRJNA1194488	646	A
GCA_049638125.1_ASM4963812v1	Geneious Prime v. 2024.0.1	PRJNA1231771	73	A
GCA_049635765.1_ASM4963576v1	Geneious Prime v. 2024.0.1	PRJNA1231771	146	A
GCA_058127625.1_ASM5812762v1	Flye v. v2.9.2-b1786	PRJNA1449068	11	A
GCA_058169785.1_M405-23-C-AURIS-GR	Flye v. v2.9.2-b1786	PRJNA1449068	13	A
GCA_058127265.1_M563-24-C-AURIS-GR	Flye v. v2.9.2-b1786	PRJNA1449068	9	A
GCA_058127295.1_M956-24-C-AURIS-GR	Flye v. v2.9.2-b1786	PRJNA1449068	16	A
GCA_060221735.1_M13-24-C-AURIS-GR	Flye v. v2.9.2-b1786	PRJNA1449068	22	A
GCA_060221685.1_M296-23-C-AURIS-GR	Flye v. v2.9.2-b1786	PRJNA1449068	12	A
GCA_035220645.1_ASM3522064v1	SPAdes v. 3.9.0	PRJNA1025033	1697	alpha
GCA_049638075.1_ASM4963807v1	Geneious Prime v. 2024.0.1	PRJNA1231771	69	A
GCA_027563765.1_ASM2756376v1	BWA-MEM v. 0.7.17	PRJNA865124	714	A
GCA_016809505.1_ASM1680950v1	Canu v. 1.6	PRJNA541007	7	A
GCA_007168705.1_ASM716870v1	Canu v. 1.4; minimap v. 0.2-r124; racon v. 1.1.0; circlator v. 1.5.3; Pilon v. 1.18; SPAdes v. 3.11.1; A5-miseq v. 20140604	PRJDB6988	11	alpha
GCA_049638095.1_ASM4963809v1	Geneious Prime v. 2024.0.1	PRJNA1231771	73	A
GCA_049636625.1_ASM4963662v1	Geneious Prime v. 2024.0.1	PRJNA1231771	24	A
GCA_049636325.1_ASM4963632v1	Geneious Prime v. 2024.0.1	PRJNA1231771	87	A
GCA_020809265.1_ASM2080926v1	Flye v. 2.8.2-b1689	PRJNA704033	14	A
GCA_049637955.1_ASM4963795v1	Geneious Prime v. 2024.0.1	PRJNA1231771	57	A
GCA_049637925.1_ASM4963792v1	Geneious Prime v. 2024.0.1	PRJNA1231771	60	A
GCA_049637205.1_ASM4963720v1	Geneious Prime v. 2024.0.1	PRJNA1231771	47	A
GCA_049637155.1_ASM4963715v1	Geneious Prime v. 2024.0.1	PRJNA1231771	34	A
GCA_049637085.1_ASM4963708v1	Geneious Prime v. 2024.0.1	PRJNA1231771	42	A
GCA_049637035.1_ASM4963703v1	Geneious Prime v. 2024.0.1	PRJNA1231771	24	A
GCA_049636985.1_ASM4963698v1	Geneious Prime v. 2024.0.1	PRJNA1231771	62	A
GCA_049636895.1_ASM4963689v1	Geneious Prime v. 2024.0.1	PRJNA1231771	55	A
GCA_049636715.1_ASM4963671v1	Geneious Prime v. 2024.0.1	PRJNA1231771	47	A
GCA_057659035.1_ASM5765903v1	Shovill-SKESA v. 1.1.0	PRJNA850520	250	alpha
GCA_057659025.1_ASM5765902v1	Shovill-SKESA v. 1.1.0	PRJNA850520	248	alpha
GCA_057658885.1_ASM5765888v1	Shovill-SKESA v. 1.1.0	PRJNA850520	417	alpha
GCA_057658905.1_ASM5765890v1	Shovill-SKESA v. 1.1.0	PRJNA850520	461	alpha
GCA_051529845.1_ASM5152984v1	Shovill-SKESA v. 1.1.0	PRJNA850520	494	alpha
GCA_051529825.1_ASM5152982v1	Shovill-SKESA v. 1.1.0	PRJNA850520	507	alpha
GCA_051529805.1_ASM5152980v1	Shovill-SKESA v. 1.1.0	PRJNA850520	656	alpha
GCA_051940725.1_ASM5194072v1	Shovill-SKESA v. 1.1.0	PRJNA850520	426	alpha
GCA_051940705.1_ASM5194070v1	Shovill-SKESA v. 1.1.0	PRJNA850520	451	A
GCA_051940675.1_ASM5194067v1	Shovill-SKESA v. 1.1.0	PRJNA850520	505	A
GCA_051940665.1_ASM5194066v1	Shovill-SKESA v. 1.1.0	PRJNA850520	617	A
GCA_051940645.1_ASM5194064v1	Shovill-SKESA v. 1.1.0	PRJNA850520	613	A
GCA_053222635.1_ASM5322263v1	Shovill-SKESA v. 1.1.0	PRJNA850520	426	alpha
GCA_053222615.1_ASM5322261v1	Shovill-SKESA v. 1.1.0	PRJNA850520	428	alpha
GCA_053222595.1_ASM5322259v1	Shovill-SKESA v. 1.1.0	PRJNA850520	437	alpha
GCA_053222565.1_ASM5322256v1	Shovill-SKESA v. 1.1.0	PRJNA850520	460	alpha
GCA_053222555.1_ASM5322255v1	Shovill-SKESA v. 1.1.0	PRJNA850520	439	A
GCA_053222505.1_ASM5322250v1	Shovill-SKESA v. 1.1.0	PRJNA850520	520	A
GCA_053222525.1_ASM5322252v1	Shovill-SKESA v. 1.1.0	PRJNA850520	476	A
GCA_053222495.1_ASM5322249v1	Shovill-SKESA v. 1.1.0	PRJNA850520	645	alpha
GCA_053222445.1_ASM5322244v1	Shovill-SKESA v. 1.1.0	PRJNA850520	700	A
GCA_053222435.1_ASM5322243v1	Shovill-SKESA v. 1.1.0	PRJNA850520	684	alpha
GCA_053222455.1_ASM5322245v1	Shovill-SKESA v. 1.1.0	PRJNA850520	728	A
GCA_053077925.1_ASM5307792v1	Shovill-SKESA v. 1.1.0	PRJNA850520	450	alpha
GCA_053077905.1_ASM5307790v1	Shovill-SKESA v. 1.1.0	PRJNA850520	484	alpha
GCA_053077865.1_ASM5307786v1	Shovill-SKESA v. 1.1.0	PRJNA850520	437	alpha
GCA_053077875.1_ASM5307787v1	Shovill-SKESA v. 1.1.0	PRJNA850520	453	alpha
GCA_053077845.1_ASM5307784v1	Shovill-SKESA v. 1.1.0	PRJNA850520	489	alpha
GCA_053077785.1_ASM5307778v1	Shovill-SKESA v. 1.1.0	PRJNA850520	535	alpha
GCA_053077795.1_ASM5307779v1	Shovill-SKESA v. 1.1.0	PRJNA850520	628	A
GCA_053077805.1_ASM5307780v1	Shovill-SKESA v. 1.1.0	PRJNA850520	690	A
GCA_053222875.1_ASM5322287v1	Shovill-SKESA v. 1.1.0	PRJNA850520	475	A
GCA_053222795.1_ASM5322279v1	Shovill-SKESA v. 1.1.0	PRJNA850520	519	A
GCA_053222825.1_ASM5322282v1	Shovill-SKESA v. 1.1.0	PRJNA850520	545	A
GCA_053222805.1_ASM5322280v1	Shovill-SKESA v. 1.1.0	PRJNA850520	581	alpha
GCA_053222765.1_ASM5322276v1	Shovill-SKESA v. 1.1.0	PRJNA850520	603	alpha
GCA_053222745.1_ASM5322274v1	Shovill-SKESA v. 1.1.0	PRJNA850520	613	alpha
GCA_053222735.1_ASM5322273v1	Shovill-SKESA v. 1.1.0	PRJNA850520	643	A
GCA_053222695.1_ASM5322269v1	Shovill-SKESA v. 1.1.0	PRJNA850520	641	A
GCA_053222705.1_ASM5322270v1	Shovill-SKESA v. 1.1.0	PRJNA850520	637	A
GCA_053222675.1_ASM5322267v1	Shovill-SKESA v. 1.1.0	PRJNA850520	673	A
GCA_053222645.1_ASM5322264v1	Shovill-SKESA v. 1.1.0	PRJNA850520	663	alpha
GCA_053078225.1_ASM5307822v1	Shovill-SKESA v. 1.1.0	PRJNA850520	533	alpha
GCA_053078205.1_ASM5307820v1	Shovill-SKESA v. 1.1.0	PRJNA850520	538	A
GCA_053078155.1_ASM5307815v1	Shovill-SKESA v. 1.1.0	PRJNA850520	568	A
GCA_053078125.1_ASM5307812v1	Shovill-SKESA v. 1.1.0	PRJNA850520	570	alpha
GCA_053078185.1_ASM5307818v1	Shovill-SKESA v. 1.1.0	PRJNA850520	620	A
GCA_053078095.1_ASM5307809v1	Shovill-SKESA v. 1.1.0	PRJNA850520	581	A
GCA_053078085.1_ASM5307808v1	Shovill-SKESA v. 1.1.0	PRJNA850520	574	A
GCA_053078065.1_ASM5307806v1	Shovill-SKESA v. 1.1.0	PRJNA850520	967	A
GCA_053078035.1_ASM5307803v1	Shovill-SKESA v. 1.1.0	PRJNA850520	621	A
GCA_053078025.1_ASM5307802v1	Shovill-SKESA v. 1.1.0	PRJNA850520	653	A
GCA_053078005.1_ASM5307800v1	Shovill-SKESA v. 1.1.0	PRJNA850520	668	A
GCA_053077985.1_ASM5307798v1	Shovill-SKESA v. 1.1.0	PRJNA850520	681	A
GCA_053077965.1_ASM5307796v1	Shovill-SKESA v. 1.1.0	PRJNA850520	721	A
GCA_053077945.1_ASM5307794v1	Shovill-SKESA v. 1.1.0	PRJNA850520	746	A
GCA_054375515.1_ASM5437551v1	Shovill-SKESA v. 1.1.0	PRJNA850520	547	alpha
GCA_054375445.1_ASM5437544v1	Shovill-SKESA v. 1.1.0	PRJNA850520	613	alpha
GCA_054375435.1_ASM5437543v1	Shovill-SKESA v. 1.1.0	PRJNA850520	598	A
GCA_054375405.1_ASM5437540v1	Shovill-SKESA v. 1.1.0	PRJNA850520	654	A
GCA_054375365.1_ASM5437536v1	Shovill-SKESA v. 1.1.0	PRJNA850520	693	alpha
GCA_054375315.1_ASM5437531v1	Shovill-SKESA v. 1.1.0	PRJNA850520	696	alpha
GCA_054375325.1_ASM5437532v1	Shovill-SKESA v. 1.1.0	PRJNA850520	693	alpha
GCA_053223285.1_ASM5322328v1	Shovill-SKESA v. 1.1.0	PRJNA850520	524	alpha
GCA_053223275.1_ASM5322327v1	Shovill-SKESA v. 1.1.0	PRJNA850520	567	alpha
GCA_053223255.1_ASM5322325v1	Shovill-SKESA v. 1.1.0	PRJNA850520	570	alpha
GCA_053223215.1_ASM5322321v1	Shovill-SKESA v. 1.1.0	PRJNA850520	628	alpha
GCA_053223225.1_ASM5322322v1	Shovill-SKESA v. 1.1.0	PRJNA850520	650	alpha
GCA_053223195.1_ASM5322319v1	Shovill-SKESA v. 1.1.0	PRJNA850520	663	alpha
GCA_053223155.1_ASM5322315v1	Shovill-SKESA v. 1.1.0	PRJNA850520	631	alpha
GCA_053223165.1_ASM5322316v1	Shovill-SKESA v. 1.1.0	PRJNA850520	606	alpha
GCA_053223135.1_ASM5322313v1	Shovill-SKESA v. 1.1.0	PRJNA850520	657	alpha
GCA_053223115.1_ASM5322311v1	Shovill-SKESA v. 1.1.0	PRJNA850520	639	alpha
GCA_053223095.1_ASM5322309v1	Shovill-SKESA v. 1.1.0	PRJNA850520	632	alpha
GCA_053223075.1_ASM5322307v1	Shovill-SKESA v. 1.1.0	PRJNA850520	681	alpha
GCA_053223055.1_ASM5322305v1	Shovill-SKESA v. 1.1.0	PRJNA850520	709	alpha
GCA_053223035.1_ASM5322303v1	Shovill-SKESA v. 1.1.0	PRJNA850520	742	alpha
GCA_053223535.1_ASM5322353v1	Shovill-SKESA v. 1.1.0	PRJNA850520	506	A
GCA_053223555.1_ASM5322355v1	Shovill-SKESA v. 1.1.0	PRJNA850520	548	A
GCA_053223575.1_ASM5322357v1	Shovill-SKESA v. 1.1.0	PRJNA850520	544	alpha
GCA_053223495.1_ASM5322349v1	Shovill-SKESA v. 1.1.0	PRJNA850520	582	A
GCA_053223515.1_ASM5322351v1	Shovill-SKESA v. 1.1.0	PRJNA850520	612	A
GCA_053223475.1_ASM5322347v1	Shovill-SKESA v. 1.1.0	PRJNA850520	606	A
GCA_053223455.1_ASM5322345v1	Shovill-SKESA v. 1.1.0	PRJNA850520	643	A
GCA_053223415.1_ASM5322341v1	Shovill-SKESA v. 1.1.0	PRJNA850520	653	alpha
GCA_053223435.1_ASM5322343v1	Shovill-SKESA v. 1.1.0	PRJNA850520	656	A
GCA_053223395.1_ASM5322339v1	Shovill-SKESA v. 1.1.0	PRJNA850520	598	A
GCA_053223365.1_ASM5322336v1	Shovill-SKESA v. 1.1.0	PRJNA850520	770	A
GCA_053223355.1_ASM5322335v1	Shovill-SKESA v. 1.1.0	PRJNA850520	723	alpha
GCA_053223335.1_ASM5322333v1	Shovill-SKESA v. 1.1.0	PRJNA850520	802	A
GCA_053223315.1_ASM5322331v1	Shovill-SKESA v. 1.1.0	PRJNA850520	693	A
GCA_053568135.1_ASM5356813v1	Shovill-SKESA v. 1.1.0	PRJNA850520	695	alpha
GCA_053568095.1_ASM5356809v1	Shovill-SKESA v. 1.1.0	PRJNA850520	730	A
GCA_053568115.1_ASM5356811v1	Shovill-SKESA v. 1.1.0	PRJNA850520	800	A
GCA_053568035.1_ASM5356803v1	Shovill-SKESA v. 1.1.0	PRJNA850520	828	alpha
GCA_053568075.1_ASM5356807v1	Shovill-SKESA v. 1.1.0	PRJNA850520	946	A
GCA_053568055.1_ASM5356805v1	Shovill-SKESA v. 1.1.0	PRJNA850520	987	A
GCA_053455475.1_ASM5345547v1	Shovill-SKESA v. 1.1.0	PRJNA850520	671	alpha
GCA_053455515.1_ASM5345551v1	Shovill-SKESA v. 1.1.0	PRJNA850520	644	alpha
GCA_053455485.1_ASM5345548v1	Shovill-SKESA v. 1.1.0	PRJNA850520	716	A
GCA_053455545.1_ASM5345554v1	Shovill-SKESA v. 1.1.0	PRJNA850520	716	A
GCA_053455535.1_ASM5345553v1	Shovill-SKESA v. 1.1.0	PRJNA850520	767	A
GCA_054055235.1_ASM5405523v1	Shovill-SKESA v. 1.1.0	PRJNA850520	415	A
GCA_054055215.1_ASM5405521v1	Shovill-SKESA v. 1.1.0	PRJNA850520	443	A
GCA_054055195.1_ASM5405519v1	Shovill-SKESA v. 1.1.0	PRJNA850520	422	A
GCA_054055105.1_ASM5405510v1	Shovill-SKESA v. 1.1.0	PRJNA850520	435	alpha
GCA_054055095.1_ASM5405509v1	Shovill-SKESA v. 1.1.0	PRJNA850520	447	A
GCA_054055075.1_ASM5405507v1	Shovill-SKESA v. 1.1.0	PRJNA850520	465	A
GCA_054055025.1_ASM5405502v1	Shovill-SKESA v. 1.1.0	PRJNA850520	504	A
GCA_054054965.1_ASM5405496v1	Shovill-SKESA v. 1.1.0	PRJNA850520	447	A
GCA_054054955.1_ASM5405495v1	Shovill-SKESA v. 1.1.0	PRJNA850520	460	alpha
GCA_054054935.1_ASM5405493v1	Shovill-SKESA v. 1.1.0	PRJNA850520	520	A
GCA_054054915.1_ASM5405491v1	Shovill-SKESA v. 1.1.0	PRJNA850520	516	A
GCA_054054835.1_ASM5405483v1	Shovill-SKESA v. 1.1.0	PRJNA850520	664	alpha
GCA_057660065.1_ASM5766006v1	Shovill-SKESA v. 1.1.0	PRJNA850520	413	alpha
GCA_057660085.1_ASM5766008v1	Shovill-SKESA v. 1.1.0	PRJNA850520	450	alpha
GCA_057660105.1_ASM5766010v1	Shovill-SKESA v. 1.1.0	PRJNA850520	420	alpha
GCA_057660045.1_ASM5766004v1	Shovill-SKESA v. 1.1.0	PRJNA850520	418	alpha
GCA_057660025.1_ASM5766002v1	Shovill-SKESA v. 1.1.0	PRJNA850520	418	A
GCA_057659945.1_ASM5765994v1	Shovill-SKESA v. 1.1.0	PRJNA850520	628	alpha
GCA_057659925.1_ASM5765992v1	Shovill-SKESA v. 1.1.0	PRJNA850520	726	A
GCA_057659885.1_ASM5765988v1	Shovill-SKESA v. 1.1.0	PRJNA850520	431	alpha
GCA_057659805.1_ASM5765980v1	Shovill-SKESA v. 1.1.0	PRJNA850520	428	A
GCA_057659905.1_ASM5765990v1	Shovill-SKESA v. 1.1.0	PRJNA850520	460	A
GCA_057659785.1_ASM5765978v1	Shovill-SKESA v. 1.1.0	PRJNA850520	917	A
GCA_057659745.1_ASM5765974v1	Shovill-SKESA v. 1.1.0	PRJNA850520	905	alpha
GCA_057659685.1_ASM5765968v1	Shovill-SKESA v. 1.1.0	PRJNA850520	551	A
GCA_057659665.1_ASM5765966v1	Shovill-SKESA v. 1.1.0	PRJNA850520	567	A
GCA_057659625.1_ASM5765962v1	Shovill-SKESA v. 1.1.0	PRJNA850520	1183	alpha
GCA_057659545.1_ASM5765954v1	Shovill-SKESA v. 1.1.0	PRJNA850520	936	A
GCA_057659525.1_ASM5765952v1	Shovill-SKESA v. 1.1.0	PRJNA850520	1909	A
GCA_054643595.1_ASM5464359v1	Shovill-SKESA v. 1.1.0	PRJNA850520	449	alpha
GCA_054643555.1_ASM5464355v1	Shovill-SKESA v. 1.1.0	PRJNA850520	481	alpha
GCA_054643535.1_ASM5464353v1	Shovill-SKESA v. 1.1.0	PRJNA850520	589	A
GCA_054643515.1_ASM5464351v1	Shovill-SKESA v. 1.1.0	PRJNA850520	490	A
GCA_054643495.1_ASM5464349v1	Shovill-SKESA v. 1.1.0	PRJNA850520	586	A
GCA_054643475.1_ASM5464347v1	Shovill-SKESA v. 1.1.0	PRJNA850520	612	alpha
GCA_054643615.1_ASM5464361v1	Shovill-SKESA v. 1.1.0	PRJNA850520	570	A
GCA_054643575.1_ASM5464357v1	Shovill-SKESA v. 1.1.0	PRJNA850520	663	alpha
GCA_054643455.1_ASM5464345v1	Shovill-SKESA v. 1.1.0	PRJNA850520	574	A
GCA_057661685.1_ASM5766168v1	Shovill-SKESA v. 1.1.0	PRJNA850520	607	A
GCA_057661665.1_ASM5766166v1	Shovill-SKESA v. 1.1.0	PRJNA850520	628	alpha
GCA_057661625.1_ASM5766162v1	Shovill-SKESA v. 1.1.0	PRJNA850520	749	alpha
GCA_057662045.1_ASM5766204v1	Shovill-SKESA v. 1.1.0	PRJNA850520	244	alpha
GCA_057662005.1_ASM5766200v1	Shovill-SKESA v. 1.1.0	PRJNA850520	230	A
GCA_057662025.1_ASM5766202v1	Shovill-SKESA v. 1.1.0	PRJNA850520	247	alpha
GCA_057661985.1_ASM5766198v1	Shovill-SKESA v. 1.1.0	PRJNA850520	262	alpha
GCA_057661965.1_ASM5766196v1	Shovill-SKESA v. 1.1.0	PRJNA850520	211	A
GCA_057661945.1_ASM5766194v1	Shovill-SKESA v. 1.1.0	PRJNA850520	240	alpha
GCA_057661925.1_ASM5766192v1	Shovill-SKESA v. 1.1.0	PRJNA850520	376	A
GCA_057661905.1_ASM5766190v1	Shovill-SKESA v. 1.1.0	PRJNA850520	412	alpha
