asmid	accession	level	method	tech	bioproject	contigs
GCA_046250415.1_ASM4625041v1	GCA_046250415.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	187
GCA_046250365.1_ASM4625036v1	GCA_046250365.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	197
GCA_046250265.1_ASM4625026v1	GCA_046250265.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	273
GCA_046250215.1_ASM4625021v1	GCA_046250215.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	287
GCA_046250245.1_ASM4625024v1	GCA_046250245.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	366
GCA_046250235.1_ASM4625023v1	GCA_046250235.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	393
GCA_046250225.1_ASM4625022v1	GCA_046250225.1	Contig	SPAdes v. 3.15.4	Illumina NovaSeq	PRJNA1164417	225
GCA_014217455.1_ASM1421745v1	GCA_014217455.1	Complete Genome	SMRT v. 2.3	PacBio RS II	PRJNA549344	7
GCA_049638695.1_ASM4963869v1	GCA_049638695.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	31
GCA_049636185.1_ASM4963618v1	GCA_049636185.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	154
GCA_049636085.1_ASM4963608v1	GCA_049636085.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	87
GCA_047655325.1_ASM4765532v1	GCA_047655325.1	Complete Genome	Canu v. 2.2	Oxford Nanopore GridION	PRJNA672955	7
GCA_053008025.1_ASM5300802v1	GCA_053008025.1	Complete Genome	Flye v. 2.9.2	Oxford Nanopore	PRJNA1002224	7
GCA_053008035.1_ASM5300803v1	GCA_053008035.1	Complete Genome	Flye v. 2.9.2	Oxford Nanopore MinION	PRJNA1002224	7
GCA_049636765.1_ASM4963676v1	GCA_049636765.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	9
GCA_049636405.1_ASM4963640v1	GCA_049636405.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	58
GCA_049636745.1_ASM4963674v1	GCA_049636745.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	271
GCA_031359945.2_ASM3135994v2	GCA_031359945.2	Complete Genome	Flye v. 2.9.2	Oxford Nanopore MinION; Illumina HiSeq	PRJNA976115	7
GCA_016772135.1_ASM1677213v1	GCA_016772135.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCF_003013715.1_ASM301371v2	GCF_003013715.1	Complete Genome	Flye v. 2.4.2	Oxford_Nanopore	PRJNA328792	7
GCF_002775015.1_Cand_auris_B11221_V1	GCF_002775015.1	Scaffold	HGAP v. 3	PacBio	PRJNA328792	23
GCA_003014415.1_Cand_auris_B11243	GCA_003014415.1	Scaffold	Spades v. 3.1.1	Illumina	PRJNA328792	282
GCA_031357835.2_ASM3135783v2	GCA_031357835.2	Complete Genome	Flye v. 2.9.2	Oxford Nanopore MinION; Illumina HiSeq	PRJNA976506	7
GCA_008275145.1_ASM827514v1	GCA_008275145.1	Complete Genome	Canu v. 1.5	Oxford_Nanopore	PRJNA328792	7
GCA_016495685.1_ASM1649568v1	GCA_016495685.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCA_047655445.1_ASM4765544v1	GCA_047655445.1	Complete Genome	Canu v. 2.2	Oxford Nanopore GridION	PRJNA672955	7
GCA_016772215.1_ASM1677221v1	GCA_016772215.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCA_016495645.1_ASM1649564v1	GCA_016495645.1	Complete Genome	Canu v. 1.6	Oxford_Nanopore	PRJNA328792	7
GCA_016772155.1_ASM1677215v1	GCA_016772155.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCA_016772195.1_ASM1677219v1	GCA_016772195.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCA_016495665.1_ASM1649566v1	GCA_016495665.1	Complete Genome	Canu v. 1.6	Oxford_Nanopore	PRJNA328792	7
GCA_016772235.1_ASM1677223v1	GCA_016772235.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCA_016772175.1_ASM1677217v1	GCA_016772175.1	Complete Genome	Canu v. 1.6	PacBio	PRJNA328792	7
GCA_049638585.1_ASM4963858v1	GCA_049638585.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	35
GCA_049637985.1_ASM4963798v1	GCA_049637985.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	13
GCA_049635565.1_ASM4963556v1	GCA_049635565.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	183
GCF_002759435.1_Cand_auris_B8441_V3	GCF_002759435.1	Chromosome	HGAP v. 3	PacBio	PRJNA328792	9
GCA_039852025.1_ASM3985202v1	GCA_039852025.1	Chromosome	Samtools v. 1.20	Illumina MiniSeq	PRJNA1111796	87
GCA_018831645.1_ASM1883164v1	GCA_018831645.1	Chromosome	Canu v. V2	PacBio Sequel	PRJNA691446	10
GCA_018902005.1_ASM1890200v1	GCA_018902005.1	Contig	Canu v. 2	PacBio Sequel	PRJNA691446	8
GCA_024706545.1_ASM2470654v1	GCA_024706545.1	Contig	Unicycler v. 0.4.7	Illumina NovaSeq 6000; Oxford Nanopore MinION	PRJNA867138	19
GCA_049638575.1_ASM4963857v1	GCA_049638575.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	63
GCA_049638545.1_ASM4963854v1	GCA_049638545.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	40
GCA_049637305.1_ASM4963730v1	GCA_049637305.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	42
GCA_049637235.1_ASM4963723v1	GCA_049637235.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	25
GCA_049636905.1_ASM4963690v1	GCA_049636905.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	13
GCA_049636175.1_ASM4963617v1	GCA_049636175.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	152
GCA_049636005.1_ASM4963600v1	GCA_049636005.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	139
GCA_049635465.1_ASM4963546v1	GCA_049635465.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	164
GCA_049635345.1_ASM4963534v1	GCA_049635345.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	160
GCA_014673535.1_ASM1467353v1	GCA_014673535.1	Complete Genome	Flye v. 2.8; Medaka v. 1.0.3; Pilon v. 1.23	Illumina HiSeq; Oxford Nanopore MinION	PRJNA655187	7
GCA_032888605.1_ASM3288860v1	GCA_032888605.1	Contig	SMRT Link v. v5.0.1	PacBio RS	PRJNA972483	18
GCA_019039615.1_ASM1903961v1	GCA_019039615.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039575.1_ASM1903957v1	GCA_019039575.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039675.1_ASM1903967v1	GCA_019039675.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039475.1_ASM1903947v1	GCA_019039475.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039515.1_ASM1903951v1	GCA_019039515.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039395.1_ASM1903939v1	GCA_019039395.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039655.1_ASM1903965v1	GCA_019039655.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039535.1_ASM1903953v1	GCA_019039535.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039555.1_ASM1903955v1	GCA_019039555.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_035772375.1_ASM3577237v1	GCA_035772375.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_019039375.1_ASM1903937v1	GCA_019039375.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039595.1_ASM1903959v1	GCA_019039595.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_035772305.1_ASM3577230v1	GCA_035772305.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772365.1_ASM3577236v1	GCA_035772365.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772345.1_ASM3577234v1	GCA_035772345.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_019039295.1_ASM1903929v1	GCA_019039295.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_035772265.1_ASM3577226v1	GCA_035772265.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772125.1_ASM3577212v1	GCA_035772125.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772165.1_ASM3577216v1	GCA_035772165.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772105.1_ASM3577210v1	GCA_035772105.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772185.1_ASM3577218v1	GCA_035772185.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035772215.1_ASM3577221v1	GCA_035772215.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771935.1_ASM3577193v1	GCA_035771935.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_019039275.1_ASM1903927v1	GCA_019039275.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_035771965.1_ASM3577196v1	GCA_035771965.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771895.1_ASM3577189v1	GCA_035771895.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771885.1_ASM3577188v1	GCA_035771885.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771925.1_ASM3577192v1	GCA_035771925.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771725.1_ASM3577172v1	GCA_035771725.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771705.1_ASM3577170v1	GCA_035771705.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_019039435.1_ASM1903943v1	GCA_019039435.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_035771765.1_ASM3577176v1	GCA_035771765.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771735.1_ASM3577173v1	GCA_035771735.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_035771715.1_ASM3577171v1	GCA_035771715.1	Scaffold	SPAdes v. 3.6.0	Illumina NextSeq	PRJNA1049194	23
GCA_019039495.1_ASM1903949v1	GCA_019039495.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039455.1_ASM1903945v1	GCA_019039455.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039415.1_ASM1903941v1	GCA_019039415.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039355.1_ASM1903935v1	GCA_019039355.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039335.1_ASM1903933v1	GCA_019039335.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039315.1_ASM1903931v1	GCA_019039315.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039235.1_ASM1903923v1	GCA_019039235.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039775.1_ASM1903977v1	GCA_019039775.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039735.1_ASM1903973v1	GCA_019039735.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039755.1_ASM1903975v1	GCA_019039755.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039715.1_ASM1903971v1	GCA_019039715.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019332045.1_ASM1933204v1	GCA_019332045.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039635.1_ASM1903963v1	GCA_019039635.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_019039695.1_ASM1903969v1	GCA_019039695.1	Complete Genome	HGAP v. 4	PacBio Sequel	PRJNA736600	7
GCA_009602605.1_ASM960260v1	GCA_009602605.1	Contig	SPAdes v. 3.12.0	Illumina MiSeq	PRJNA555326	380
GCA_902703435.1_CA1	GCA_902703435.1	Scaffold	SPAdes	HiSeq4000	PRJEB35633	265
GCA_032694445.1_ASM3269444v1	GCA_032694445.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	30
GCA_032694655.1_ASM3269465v1	GCA_032694655.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	17
GCA_032694695.1_ASM3269469v1	GCA_032694695.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	196
GCA_032694685.1_ASM3269468v1	GCA_032694685.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	43
GCA_032694745.1_ASM3269474v1	GCA_032694745.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	137
GCA_032694645.1_ASM3269464v1	GCA_032694645.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	20
GCA_032694485.1_ASM3269448v1	GCA_032694485.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	9
GCA_032694465.1_ASM3269446v1	GCA_032694465.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	46
GCA_032694475.1_ASM3269447v1	GCA_032694475.1	Contig	flye v. 2.8.3	Oxford Nanopore MinION	PRJNA987725	10
GCA_051989225.1_ASM5198922v1	GCA_051989225.1	Scaffold	SPAdes v. 3.5.0	Sanger; Illumina MiniSeq	PRJNA1291465	83
GCA_035582645.1_ASM3558264v1	GCA_035582645.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	3954
GCA_035582625.1_ASM3558262v1	GCA_035582625.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	2874
GCA_035582605.1_ASM3558260v1	GCA_035582605.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	2759
GCA_035582585.1_ASM3558258v1	GCA_035582585.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	5287
GCA_035582555.1_ASM3558255v1	GCA_035582555.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	3875
GCA_035582525.1_ASM3558252v1	GCA_035582525.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	4676
GCA_035582505.1_ASM3558250v1	GCA_035582505.1	Contig	SPAdes v. 3.9.0	Illumina NextSeq	PRJNA1025033	2014
GCA_902712835.3_Cau_1901_a	GCA_902712835.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	2730
GCA_902712125.3_Cau_1902_a	GCA_902712125.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	2781
GCA_902712115.3_Cau_1903_a	GCA_902712115.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	607
GCA_902712105.3_Cau_1904_a	GCA_902712105.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	2016
GCA_902712275.3_Cau_1905_a	GCA_902712275.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	2215
GCA_902712245.3_Cau_1906_a	GCA_902712245.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	1832
GCA_902712265.3_Cau_1907_a	GCA_902712265.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	592
GCA_902712235.3_Cau_1908_a	GCA_902712235.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	3373
GCA_902712215.3_Cau_1909_a	GCA_902712215.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	3310
GCA_902712225.3_Cau_1910_a	GCA_902712225.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	2372
GCA_902712255.3_Cau_1911_a	GCA_902712255.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	3319
GCA_902712175.3_Cau_1912_a	GCA_902712175.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	798
GCA_902712195.3_Cau_1913_a	GCA_902712195.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	672
GCA_902712135.3_Cau_1914_a	GCA_902712135.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	706
GCA_902712205.3_Cau_1915_a	GCA_902712205.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	709
GCA_902712145.3_Cau_1916_a	GCA_902712145.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	1040
GCA_902712185.3_Cau_1917_a	GCA_902712185.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	1305
GCA_902712155.3_Cau_1918_a	GCA_902712155.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	603
GCA_902712165.3_Cau_1919_a	GCA_902712165.3	Scaffold	SPAdes	Illumina MiSeq	PRJEB34199	386
GCA_019968925.1_ASM1996892v1	GCA_019968925.1	Contig	Shovill v. 1.0.0	Illumina NovaSeq	PRJNA686013	8
GCA_030581515.1_ASM3058151v1	GCA_030581515.1	Scaffold	DISCOVAR v. r51885	Illumina HiSeq	PRJNA736342	211
GCA_053542915.1_CBS19051_v2	GCA_053542915.1	Complete Genome	Flye v. 2.9.4	Oxford Nanopore GridION	PRJNA1155597	7
GCA_054883665.1_ASM5488366v1	GCA_054883665.1	Complete Genome	Flye v. 2.9.2	Oxford Nanopore MinION	PRJNA1002224	8
GCA_053009075.1_ASM5300907v1	GCA_053009075.1	Complete Genome	Flye v. 2.9.2	Oxford Nanopore MinION	PRJNA1002224	8
GCA_048414655.1_ASM4841465v1	GCA_048414655.1	Contig	Flye v. v2.9.1-b1780	PacBio; Illumina	PRJNA1027067	8
GCA_048414635.1_ASM4841463v1	GCA_048414635.1	Scaffold	Flye v. v2.9.1-b1780	PacBio; Illumina	PRJNA1027067	12
GCA_048414855.1_ASM4841485v1	GCA_048414855.1	Contig	Flye v. v2.9.1-b1780	PacBio; Illumina	PRJNA1027067	7
GCA_048414815.1_ASM4841481v1	GCA_048414815.1	Scaffold	Flye v. v2.9.1-b1780	PacBio; Illumina	PRJNA1027067	15
GCA_048414565.1_ASM4841456v1	GCA_048414565.1	Scaffold	Flye v. v2.9.1-b1780	PacBio; Illumina	PRJNA1027067	13
GCA_048414545.1_ASM4841454v1	GCA_048414545.1	Contig	Flye v. v2.9.1-b1780	PacBio; Illumina	PRJNA1027067	7
GCA_047372335.1_ASM4737233v1	GCA_047372335.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	201
GCA_047372315.1_ASM4737231v1	GCA_047372315.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	270
GCA_047372255.1_ASM4737225v1	GCA_047372255.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	223
GCA_047372275.1_ASM4737227v1	GCA_047372275.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	239
GCA_047372215.1_ASM4737221v1	GCA_047372215.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	248
GCA_047372195.1_ASM4737219v1	GCA_047372195.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	223
GCA_047372165.1_ASM4737216v1	GCA_047372165.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	145
GCA_047372125.1_ASM4737212v1	GCA_047372125.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	256
GCA_047372105.1_ASM4737210v1	GCA_047372105.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	180
GCA_047372045.1_ASM4737204v1	GCA_047372045.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	213
GCA_047372075.1_ASM4737207v1	GCA_047372075.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	317
GCA_047372015.1_ASM4737201v1	GCA_047372015.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	232
GCA_047371985.1_ASM4737198v1	GCA_047371985.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	190
GCA_047371935.1_ASM4737193v1	GCA_047371935.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	249
GCA_047371895.1_ASM4737189v1	GCA_047371895.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	275
GCA_047371915.1_ASM4737191v1	GCA_047371915.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	235
GCA_047371865.1_ASM4737186v1	GCA_047371865.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	275
GCA_047371805.1_ASM4737180v1	GCA_047371805.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	184
GCA_047371755.1_ASM4737175v1	GCA_047371755.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	203
GCA_047371725.1_ASM4737172v1	GCA_047371725.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	208
GCA_047371665.1_ASM4737166v1	GCA_047371665.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	262
GCA_047371645.1_ASM4737164v1	GCA_047371645.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	179
GCA_047371635.1_ASM4737163v1	GCA_047371635.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	242
GCA_047371575.1_ASM4737157v1	GCA_047371575.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	254
GCA_047371555.1_ASM4737155v1	GCA_047371555.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	1067
GCA_047371545.1_ASM4737154v1	GCA_047371545.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	161
GCA_047371515.1_ASM4737151v1	GCA_047371515.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	225
GCA_047371465.1_ASM4737146v1	GCA_047371465.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	162
GCA_047371425.1_ASM4737142v1	GCA_047371425.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	197
GCA_047371455.1_ASM4737145v1	GCA_047371455.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	193
GCA_047371395.1_ASM4737139v1	GCA_047371395.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	231
GCA_047371335.1_ASM4737133v1	GCA_047371335.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	213
GCA_047371345.1_ASM4737134v1	GCA_047371345.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	241
GCA_047371295.1_ASM4737129v1	GCA_047371295.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	248
GCA_047371785.1_ASM4737178v1	GCA_047371785.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	238
GCA_047371255.1_ASM4737125v1	GCA_047371255.1	Scaffold	MaSuRCA v. 3.3.5	Illumina NovaSeq	PRJNA1079026	305
GCA_049638435.1_ASM4963843v1	GCA_049638435.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	70
GCA_049636595.1_ASM4963659v1	GCA_049636595.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	38
GCA_049638425.1_ASM4963842v1	GCA_049638425.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	63
GCA_049638395.1_ASM4963839v1	GCA_049638395.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	49
GCA_049638305.1_ASM4963830v1	GCA_049638305.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	66
GCA_049638255.1_ASM4963825v1	GCA_049638255.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	83
GCA_049638225.1_ASM4963822v1	GCA_049638225.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	84
GCA_049635905.1_ASM4963590v1	GCA_049635905.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	166
GCA_049635225.1_ASM4963522v1	GCA_049635225.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	133
GCA_049635165.1_ASM4963516v1	GCA_049635165.1	Chromosome	Geneious Prime v. 2024.0.1	Oxford Nanopore GridION	PRJNA1231771	156
GCA_032367535.1_ASM3236753v1	GCA_032367535.1	Chromosome	Flye v. 2.9.1, Medaka v. 1.8.1, Pilon v. 1.24	Oxford Nanopore MinION; Illumina	PRJNA1000034	8
GCA_032714025.1_ASM3271402v1	GCA_032714025.1	Complete Genome	Hybrid genome assembly v. Flye v2.9.1, Medaka v1.8.1, Pilon v1.24	Oxford Nanopore MinION; Illumina	PRJNA1000034	7
GCA_032715285.1_ASM3271528v1	GCA_032715285.1	Complete Genome	Hybrid genome assembly v. Flye v2.9.1, Medaka v1.8.1, Pilon v1.24	Oxford Nanopore MinION; Illumina	PRJNA1000034	7
GCA_014638765.1_ASM1463876v1	GCA_014638765.1	Scaffold	SPAdes v. 3.14	Illumina HiSeq	PRJNA655187	150
GCA_014638955.1_ASM1463895v1	GCA_014638955.1	Scaffold	SPAdes v. 3.14	Illumina HiSeq	PRJNA655187	155
